"Investor ID","Investor / Organisation","Investor Type","Subcategory","Country","City","Official Website","LinkedIn","Professional Phone Number (best)","Investment Contact Phone","General Office Phone","Investor Relations Phone","Phone Verification Status","Phone Source","Investment Email","General Email","Email Source","Investment Focus","Healthcare Focus","Technology Focus","Geography Focus","Investment Stage","Typical Ticket","Fund Size / Assets","Relevant Portfolio","Vytalix Fit (Sector /20)","Stage Fit /15","Ticket Fit /15","Geographic Fit /10","Strategic Value /15","MaternaLink Fit /10","Accessibility /5","Network Value /10","VYTALIX INVESTOR FIT SCORE /100","CONTACTABILITY SCORE /10","Investment Probability","Overall Score","Tier","Priority","Relevant Decision Maker","Decision Maker Role","Decision Maker Source","Contact Route","Warm Intro Possibility","Source","Last Verified","CRM Status","Next Action","Why Investor for Vytalix","Likely Objection","Recommended Pitch Angle","Notes","Research Batch"
"VX-001","SBRI Healthcare (NHS England / Accelerated Access Collaborative, managed by LGC)","Government / Innovation Fund","NHS-funded NON-DILUTIVE development contracts (100% funded, competition-based) for health innovations","United Kingdom","Teddington / London","https://sbrihealthcare.co.uk/","https://www.linkedin.com/company/sbri-healthcare/","+44 20 8843 8125","","+44 20 8843 8125","","VERIFIED 2026-09-07 (source in phone_source_url)","https://sbrihealthcare.co.uk/contact-us","NOT PUBLICLY AVAILABLE","sbri@lgcgroup.com","https://sbrihealthcare.co.uk/contact-us","Themed competitions awarding 100%-funded development contracts (Phase 1 feasibility c. £100k, Phase 2 development up to c. £1m) to companies addressing NHS priorities; past themes have included maternity, women's health and health inequalities","Yes – exclusively NHS-facing health innovation","Digital health, AI, medtech, diagnostics","UK (any company, project delivered with NHS)","Pre-revenue eligible; needs NHS partner and credible team","c. £100k (Phase 1) to c. £1m (Phase 2) contracts","Programme budget c. £20m+ per year (ESTIMATE)","Innovation portfolio at https://sbrihealthcare.co.uk/companies/ incl. maternity and women's-health digital tools","17","13","13","10","13","8","5","8","87","7","High","84","A","A-Tier (80–100): immediate personalised outreach","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","sbri@lgcgroup.com or +44 20 8843 8125 ; competitions via https://sbrihealthcare.co.uk/sbri-portal/","Yes – SBRI Healthcare runs open briefing webinars for each competition","https://sbrihealthcare.co.uk/contact-us;https://sbrihealthcare.co.uk/competitions/faq-s;https://sbrihealthcare.co.uk/companies/;https://sbrihealthcare.co.uk/about-us/available-support","2026-09-07","Researched","Call investment team using verified number; follow with personalised email same day.","SBRI Healthcare pays 100% of development costs when a competition theme matches, and maternity and health inequalities are recurring NHS priorities that MaternaLink v1 directly addresses.","Assessors will ask for an NHS clinical partner, a credible technical team and evidence of need, none of which Vytalix can yet document.","Secure a maternity-unit clinical champion and apply to the next maternity or health-inequalities themed call with a non-diagnostic care-coordination Phase 1.","NON-DILUTIVE development contracts, not equity. Phone and email verified on official contact page 2026-09-07. Competitions are themed – wait for a maternity/women's-health/health-inequalities call; requires UK incorporation and an NHS clinical collaborator.","05_impact_dfi_global_health.csv"
"VX-002","Octopus Ventures","Venture Capital","Multi-stage VC with dedicated health team and pre-seed programme","United Kingdom","London","https://octopusventures.com/","https://www.linkedin.com/company/octopus-ventures/","PHONE NOT PUBLICLY AVAILABLE","","","","PHONE NOT PUBLICLY AVAILABLE","","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://octopusventures.com/contact/","B2B software, fintech, health, deep tech, consumer; pre-seed to Series B+","Yes - dedicated health investment team (digital health, healthtech, bio); health-investments page","Digital platforms, AI, SaaS, health data","UK and Europe","Pre-seed (standard £100k cheque via pre-seed team), Seed, Series A, Series B+","£100k pre-seed; £1m-£10m seed/Series A (per octopusventures.com FAQ / partnershipsbuddy summary)","c.£2bn+ AUM across funds (ESTIMATE from public reporting)","Vira Health (menopause / older women's health; led $12m seed), Perci Health (cancer survivorship digital care), Elvie (women's health hardware - prior knowledge)","18","13","13","10","12","7","3","9","85","6","High","81","A","A-Tier (80–100): immediate personalised outreach","Will Gibbs","Partner, Health team (name from prior knowledge - confirm on team page)","https://octopusventures.com/health-investments/","Web pitch form: https://octopusventures.com/contact/ (pre-seed team makes decisions within ~2 weeks per FAQ)","Possible - via Vira Health or Perci Health founders (women's-health portfolio) or Octopus pre-seed alumni","https://octopusventures.com/contact/;https://octopusventures.com/health-investments/;https://octopusventures.com/about/faq/;https://octopusgroup.com/newsroom/latest-news/octopus-ventures-launches-pre-seed-team-led-by-seedcamp-and-uber-alumni/;https://www.uktechnews.info/2022/03/15/vira-health-secures-9-2-million-seed-investment-led-by-octopus-ventures/;https://register.fca.org.uk/s/firm?id=001b000000MfISpAAN;https://find-and-update.company-information.service.gov.uk/company/03843058","2026-09-07","Researched","Verify phone via official contact page; send personalised email/LinkedIn to Will Gibbs; seek warm intro.","Octopus runs a dedicated £100k pre-seed programme plus a health team that has already led rounds in women's-health companies (Vira Health), so it can meet Vytalix at pre-formation stage and follow on.","Octopus will ask why a services-led group with an undocumented MaternaLink IP position and no UK clinical partner is a venture-scale software company rather than a consultancy.","Position MaternaLink (in development) as a UK-first maternal care-coordination platform aimed at the MBRRACE-UK Black maternal-outcomes gap, with a clear IP-consolidation and NHS pilot plan before asking for the £100k pre-seed cheque.","Registered address 33 Holborn, London EC1N 2HT (Companies House). Official contact page pushes online pitch submission; no team phone shown in official-domain search results. A personal staff email surfaced in a search snippet but is not a published general inbox so it is not recorded. FCA-authorised (Octopus Ventures Limited).","01_uk_health_vc.csv"
"VX-003","Innovate UK (UKRI)","Government / Innovation Fund","UK national innovation agency – NON-DILUTIVE grants (Smart, Biomedical Catalyst, Women in Innovation) and innovation loans","United Kingdom","Swindon","https://www.ukri.org/councils/innovate-uk/","https://www.linkedin.com/company/innovateuk/","0300 321 4357","","0300 321 4357","","VERIFIED 2026-09-07 (source in phone_source_url)","https://apply-for-innovation-funding.service.gov.uk/info/contact","NOT PUBLICLY AVAILABLE","support@iuk.ukri.org","https://apply-for-innovation-funding.service.gov.uk/info/contact","Grant competitions for UK-registered businesses (feasibility, industrial research, experimental development), Biomedical Catalyst for health, Women in Innovation Awards, Innovation Loans (£100k–£2m) for late-stage projects; Innovate UK Business Growth advisory","Yes – Biomedical Catalyst and health/AI competitions; digital health and maternal-health projects have been funded","AI, digital health, data, medtech","UK-registered businesses (project must benefit UK)","Any – pre-revenue eligible for grants","Grants typically £25k–£2m at 50–70% intervention rate; loans £100k–£2m","c. £1bn+ annual budget (ESTIMATE)","Thousands of UK health-tech grants incl. maternal and women's-health digital projects","16","14","13","10","11","6","5","8","83","7","High","81","A","A-Tier (80–100): immediate personalised outreach","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Innovation Funding Service https://apply-for-innovation-funding.service.gov.uk/ ; support 0300 321 4357 (9–12, 2–5 Mon–Fri) / support@iuk.ukri.org ; Innovate UK Business Connect 03333 403250","Yes – Innovate UK Business Growth advisers and Business Connect are open to any UK company","https://apply-for-innovation-funding.service.gov.uk/info/contact;https://www.ukri.org/councils/innovate-uk/guidance-for-applicants/general-guidance/contact-us/;https://iuk-business-connect.org.uk/business-growth-contact/;https://apply-for-innovation-funding.service.gov.uk/competition/2337/overview/3750b1cd-2080-4a1c-82c0-003fbaafdd2d","2026-09-07","Researched","Call investment team using verified number; follow with personalised email same day.","Innovate UK is the most accessible non-dilutive funder for a newly incorporated UK health-tech and can fund the feasibility and clinical-partnership work MaternaLink needs before any equity round.","Vytalix is not yet incorporated, cannot show match funding or a delivery partner, and must not overclaim clinical capability in an application.","Incorporate, then apply for a feasibility-stage grant (Biomedical Catalyst or open Smart round) with an NHS trust or university obstetrics partner and honest v1 non-diagnostic scope.","NON-DILUTIVE: grants, not equity. Phone and email verified on official IFS contact page 2026-09-07. Requires UK incorporation, match funding (typically 30–50% for SMEs) and a UK project; Women in Innovation Awards 2025/26 competition seen on IFS. A Smart/feasibility grant is the most realistic first external funding for MaternaLink v1 research and UK pilot design.","05_impact_dfi_global_health.csv"
"VX-004","Ada Ventures","Venture Capital","Inclusive pre-seed / seed VC (themes: healthy ageing, climate equity, economic empowerment)","United Kingdom","London","https://www.adaventures.com/","https://uk.linkedin.com/company/ada-ventures","PHONE NOT PUBLICLY AVAILABLE","","","","PHONE NOT PUBLICLY AVAILABLE","","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.adaventures.com/","Pre-seed and seed technology companies for 'a better human future' across healthy ageing, climate equity and economic empowerment; inclusive sourcing (Ada Scouts)","Yes - healthy ageing / health is one of three core themes; healthcare Venture Partners (e.g. Alasdair Thong)","Software, digital platforms, AI","UK-first, Northern Europe","Pre-seed, Seed","£250k-£1.5m (Fund II, per adaventures.com / Better Society Capital)","Fund II (2023) c.£63m (prior knowledge; TO VALIDATE)","Multiomic Health (metabolic health), plus Fund I health companies (e.g. Bippit / Organise - non-health; prior knowledge not verified)","15","15","15","10","9","7","4","7","82","6","High","79","A","A-Tier (80–100): immediate personalised outreach","Check Warner","Co-founder and Partner (name from prior knowledge - confirm on team page)","https://www.adaventures.com/","Web pitch portal on https://www.adaventures.com/ (dedicated founder submission form; open to cold applications)","Possible - via Ada Scouts network (community scouts paid to refer under-represented founders)","https://www.adaventures.com/;https://uk.linkedin.com/company/ada-ventures;https://bettersocietycapital.com/portfolio/ada-ventures-i/;https://signal.nfx.com/investor-lists/top-digital-health-pre-seed-investors;https://superscout.co/investor/ada-ventures","2026-09-07","Researched","Verify phone via official contact page; send personalised email/LinkedIn to Check Warner; seek warm intro.","Ada writes £250k-£1.5m pre-seed cheques through an open portal, has a health theme and an explicit inclusion mandate that aligns with MaternaLink's focus on Black maternal-health disparities.","Ada's health theme is framed around healthy ageing, so it may see a maternal-health platform with a Nigeria government-sales story as off-thesis and too early on evidence.","Lead with the UK Black maternal-outcomes gap as an equity problem, the founder's lived proximity to it, and a UK-first care-coordination v1 with a costed pilot, keeping Nigeria as a later option value.","Explicitly backs 'the best, not just the best-connected' with an open portal - strong fit for a Black founder building for Black maternal outcomes. Better Society Capital is an LP in Fund I (impact lens). No phone shown on official site in results.","01_uk_health_vc.csv"
"VX-005","NIHR Invention for Innovation (i4i) Programme","Government / Innovation Fund","NIHR NON-DILUTIVE translational funding (i4i Connect for SMEs, Product Development Awards, Challenge Awards)","United Kingdom","Twickenham / London","https://www.nihr.ac.uk/research-funding/funding-programmes/invention-for-innovation","https://www.linkedin.com/company/nihr/","020 8843 8080","","020 8843 8080","","VERIFIED 2026-09-07 (source in phone_source_url)","https://www.nihr.ac.uk/contact-us?letter=H","NOT PUBLICLY AVAILABLE","i4i@nihr.ac.uk","https://www.nihr.ac.uk/invention-innovation-connect-faqs","Funds development and evaluation of medical devices, diagnostics and digital health technologies for NHS patients; i4i Connect gives SMEs £50k–£150k to reach the next funding stage; Product Development Awards larger; requires NHS/academic collaboration","Yes – exclusively NHS health technology","Medical devices, digital health, AI (SaMD-oriented)","England (UK SMEs with NHS partners)","Pre-revenue SMEs with a prototype and clinical partner","i4i Connect £50k–£150k; PDA up to c. £1.5m","NIHR i4i annual budget c. £20m+ (ESTIMATE)","UK medtech and digital-health SMEs; maternal-health devices and apps among awardees","16","11","12","10","12","7","5","8","81","7","High","79","A","A-Tier (80–100): immediate personalised outreach","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","i4i@nihr.ac.uk (eligibility queries) or 020 8843 8080 ; applications via NIHR funding portal","Yes – NIHR Research Support Service offers free pre-application advice","https://www.nihr.ac.uk/contact-us?letter=H;https://www.nihr.ac.uk/research-funding/funding-programmes/invention-for-innovation;https://www.nihr.ac.uk/invention-innovation-connect-faqs;https://hrc-techeval.nihr.ac.uk/nihr-i4i-connect-call-9-collaborate-with-us/","2026-09-07","Researched","Call investment team using verified number; follow with personalised email same day.","NIHR i4i is the UK's dedicated funder for taking a health technology like the MaternaLink risk-score from prototype to clinical evaluation with NHS partners.","i4i expects a working prototype, a defined clinical need and an NHS/academic collaborator, and the AI risk-score currently has no data or validation.","Use i4i Connect for the MIS research track once a university obstetrics group agrees to co-apply, keeping claims to 'intended to support' language.","NON-DILUTIVE. Phone and email verified on official NIHR pages 2026-09-07. i4i is best suited to the MIS research track (SaMD pathway) rather than the v1 coordination platform; requires an NHS or academic co-applicant.","05_impact_dfi_global_health.csv"
"VX-006","TLcom Capital","Venture Capital","Africa-focused seed/Series A VC (UK-registered LLP with Lagos and Nairobi offices)","United Kingdom","London (also Lagos, Nairobi)","https://www.tlcomcapital.com","","+44 20 82377070 (London); +234 708 4974244 (Lagos)","","+44 20 82377070 (London); +234 708 4974244 (Lagos)","","VERIFIED 2026-09-07 (source in phone_source_url)","https://tlcomcapital.com/contact-us","NOT PUBLICLY AVAILABLE","info@tlcomcapital.com (London); info-ng@tlcomcapital.com (Lagos)","https://tlcomcapital.com/contact-us","Seed and Series A tech companies in Africa: fintech, mobility, agriculture, healthcare, education, e-commerce; added a pre-seed strategy in 2022","Yes - healthcare is a named sector; portfolio includes Ilara Health (Kenya)","Software platforms, digital services","Pan-African (Nigeria and Kenya focus) with London HQ","Pre-seed (selective), Seed, Series A","US$500k-US$15m for seed and Series A; smaller pre-seed cheques via Eloho Omame's pre-seed mandate","TIDE Africa Fund II US$154m (final close 2024); Fund I US$71m","Ilara Health (health-tech, Kenya), Pula (agri-insurance), Andela, Twiga, uLesson","14","11","9","10","13","7","4","9","77","9","High","79","B","B-Tier (65–79): targeted relationship development","Eloho Omame","Partner (Lagos; leads pre-seed and female-founder investing)","https://techcrunch.com/2022/06/27/tlcom-capital-appoints-eloho-omame-as-partner-to-back-more-pre-seed-and-female-led-startups/","Pitch page https://www.tlcomcapital.com/contact ('Pitch to Us'); email info@tlcomcapital.com; London office +44 20 82377070","Possible - via FirstCheck Africa (Eloho Omame's female-founder community) or Nigerian portfolio founders","https://tlcomcapital.com/contact-us;https://www.tlcomcapital.com/contact;https://find-and-update.company-information.service.gov.uk/company/OC315522;https://techcrunch.com/2022/06/27/tlcom-capital-appoints-eloho-omame-as-partner-to-back-more-pre-seed-and-female-led-startups/;https://african.business/2022/01/technology-information/tlcom-announces-70m-first-close-on-tech-fund","2026-09-07","Researched","Call to qualify fit and process; log outcome; send one-pager.","A London-registered Africa fund with Lagos and Nairobi offices, a healthcare mandate (Ilara Health) and a Lagos partner explicitly tasked with pre-seed and female-founder deals.","Core cheques start at US$500k for companies with a live product and revenue in an African market, so Vytalix would need a Nigerian pilot and a documented MaternaLink IP position first.","Approach Eloho Omame's pre-seed track with a maternal-health thesis for Nigeria, emphasising the UK-Nigeria structure and NHS-grade clinical governance as differentiation.","UK LLP (Companies House OC315522) - useful for a UK-domiciled company investing into Nigeria. Fund II size from prior knowledge - TO VALIDATE; search confirmed US$70m first close of the US$150m target.","04_africa_em_vc.csv"
"VX-007","Goddess Gaia Ventures","Venture Capital","Women's-health / femtech VC (pre-Series A)","United Kingdom","London","https://www.ggventuresgroup.com/","https://uk.linkedin.com/company/goddess-gaia-ventures","PHONE NOT PUBLICLY AVAILABLE","","","","PHONE NOT PUBLICLY AVAILABLE","","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.ggventuresgroup.com/contact-8","Female-founded pre-Series A fund investing in '360' solutions across female health, wellness, sport and femtech; also runs a women's-health donor-advised fund (DAF) alongside the venture fund","Yes – exclusively women's health, wellness and femtech (fertility, menopause, oncology, maternal, mental health)","Digital health, consumer health, diagnostics, devices and services for women","UK and Europe (some global)","Pre-seed, seed, pre-Series A","ESTIMATE £100k–£500k (not published; confirm)","Not publicly disclosed (small first-time fund; TO VALIDATE)","Portfolio page lists early-stage women's-health companies (see https://www.ggventuresgroup.com/portfolio); specific names TO VALIDATE","17","13","12","10","10","10","3","6","81","6","High","78","A","A-Tier (80–100): immediate personalised outreach","Priya Oberoi","Founder & General Partner – confirm on team page","https://www.ggventuresgroup.com/team","Web contact form: https://www.ggventuresgroup.com/contact-8; LinkedIn to Priya Oberoi","Possible – via UK femtech community events (Femtech Lab, Women of Wearables) where the GP speaks","https://www.ggventuresgroup.com/contact-8;https://www.ggventuresgroup.com/team;https://www.ggventuresgroup.com/;https://uk.linkedin.com/company/goddess-gaia-ventures;https://app.dealroom.co/companies/goddess_gaia_ventures;https://www.crunchbase.com/organization/goddess-gaia-ventures","2026-09-07","Researched","Verify phone via official contact page; send personalised email/LinkedIn to Priya Oberoi; seek warm intro.","The only UK-based fund investing exclusively in women's health at pre-Series A, so MaternaLink's Black-maternal-health focus fits its mandate directly.","Vytalix is pre-incorporation with unresolved MaternaLink IP ownership and no clinical partner, which a small fund cannot underwrite.","Lead with the MBRRACE-UK disparity data and a concrete NHS maternity pilot plan, positioning MaternaLink as a care-coordination product with a UK-first path.","Registered office shown in search result as 35 Berkeley Square, London W1J 6ER (from official site). Two domains in use: ggventuresgroup.com and goddessgaiaventures.com. No phone or email surfaced in official search results on 2026-09-07. Founder Priya Oberoi is a cancer survivor and IVF mother – mission-driven.","03_eu_us_health_vc.csv"
"VX-008","AlbionVC","Venture Capital","UK seed / Series A VC for B2B software and healthcare (VCT-backed; manages UCL Technology Fund)","United Kingdom","London","https://albion.vc/","https://www.linkedin.com/company/albionvc","+44 (0)20 7601 1850","","+44 (0)20 7601 1850","","VERIFIED 2026-09-07 (source in phone_source_url)","https://albion.vc/contact-us/","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://albion.vc/contact-us/","UK early-stage B2B software and healthcare; seed and Series A","Yes - healthtech portfolio of c.15 companies (digital care, GP/hospital solutions, data aggregation, AI analytics, decentralised trials); Healthtech Hub; partnership with Harley Street Health District","Digital health, SaaS, AI analytics, life sciences","United Kingdom","Seed, Series A","$1m-$5m initial (per privateequitylist summary); can go smaller via UCL Technology Fund","c.$1bn venture funds under management, 50+ companies","Oviva (virtual weight-management clinic, backed since 2016 seed), plus 15 healthtech companies across digital care and NHS-facing solutions; Freeline and Orchard Therapeutics (life sciences)","18","11","10","10","13","5","4","9","80","7","High","78","A","A-Tier (80–100): immediate personalised outreach","Dr Christoph Ruedig","Partner, healthcare (name from prior knowledge - confirm on https://albion.vc/team/)","https://albion.vc/team/","Contact form https://albion.vc/contact-us/ or office phone; Healthtech Hub https://albion.vc/healthtech-hub/","Possible - via Harley Street Health District partnership, UCL Technology Fund network or Oviva alumni","https://albion.vc/contact-us/;https://albion.vc/team/;https://albion.vc/healthtech-hub/;https://albion.vc/complaints-procedures/;https://find-and-update.company-information.service.gov.uk/company/OC341254;https://www.frontiers.health/stories/announcement/a-partner-to-visionary-founders-in-digital-health-and-life-sciences-albionvc-returns-for-fh23","2026-09-07","Researched","Call investment team using verified number; follow with personalised email same day.","AlbionVC is one of the few UK VCs with a dedicated healthtech practice, NHS-facing portfolio and a verified office line, making it a realistic seed lead once Vytalix has a UK pilot.","Albion's healthcare team will ask for clinical evidence, NHS procurement understanding and a documented IP position, none of which Vytalix can evidence today.","Use the Harley Street Health District link: propose MaternaLink as a care-coordination pilot for a London maternity pathway with measurable outcome and equity metrics before requesting a seed cheque.","Phone and address (1 Benjamin Street, London EC1M 5QL) shown in official-domain (albion.vc) search results - a firm switchboard, not a direct investment line. Email on contact page is obfuscated in search results so not recorded.","01_uk_health_vc.csv"
"VX-009","Grand Challenges Canada","Impact / DFI","Government-funded innovation platform (grants, repayable grants, equity) with explicit maternal, newborn and child health focus","Canada","Toronto","https://www.grandchallenges.ca/","https://www.linkedin.com/company/grand-challenges-canada/","+1 (416) 673-6568","","+1 (416) 673-6568","","VERIFIED 2026-09-07 (source in phone_source_url)","https://www.grandchallenges.ca/terms-and-conditions/","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Seed and transition-to-scale funding (grants, loans, equity) for innovations in global health incl. women's and children's health, mental health, humanitarian; Transition To Scale offers repayable capital","Yes – maternal, newborn, child and women's health is a core programme area (e.g. Saving Lives at Birth legacy, Every Woman Every Child innovations)","Digital health, AI for global health (recent AI-for-health grants), devices and service models","Low- and middle-income countries incl. Nigeria; innovators may be based in Canada or LMICs (UK-based applicant eligibility TO VALIDATE per call)","Seed (c. CAD 100k–250k grants) to Transition To Scale (up to c. CAD 1m–2m repayable/equity)","CAD 100k–2m by stream","c. CAD 1bn+ deployed since 2010 (ESTIMATE)","Hundreds of maternal/newborn health innovations across Africa and Asia incl. Nigerian digital-health projects","15","12","11","8","11","10","3","8","78","7","High","77","B","B-Tier (65–79): targeted relationship development","Karlee Silver","Chief Executive Officer","https://www.grandchallenges.ca/about-us/leadership-team/","Open calls via https://www.grandchallenges.ca/ (Fluxx portal); office at MaRS Centre, 661 University Avenue, Suite 1720, Toronto; phone +1 (416) 673-6568","Possible – via Nigerian GCC-funded innovators and Nigeria Health Watch network","https://www.grandchallenges.ca/terms-and-conditions/;https://www.grandchallenges.ca/about-us/leadership-team/;https://www.grandchallenges.ca/about-us/staff-directory/;https://www.grandchallenges.ca/2024/grand-challenges-catalyzing-equitable-ai-use-for-improved-global-health-grants-awarded/","2026-09-07","Researched","Call to qualify fit and process; log outcome; send one-pager.","Grand Challenges Canada is one of the few funders whose core mandate is literally maternal and newborn health innovation in countries like Nigeria, with seed cheques sized for a pre-seed company.","GCC needs a credible LMIC implementing partner and an evidence plan, and it may see MaternaLink as duplicating the MSD-for-Mothers-funded mDoc programme already running in Ekiti.","Apply with a Nigerian clinical or state partner for a seed grant testing maternal care-coordination in a state without an incumbent programme, positioning the AI risk-score as a later research track.","Phone and address from official site (terms page). Most funding is grant or repayable grant; equity is used selectively at Transition To Scale. Calls require an LMIC implementing partner – Ekiti/other Nigerian partner would be needed.","05_impact_dfi_global_health.csv"
"VX-010","Ventures Platform","Venture Capital","Africa-focused generalist VC (pre-seed to pre-Series A)","Nigeria","Lagos / Abuja","https://www.venturesplatform.com","","+234 809 041 5327","","+234 809 041 5327","","VERIFIED 2026-09-07 from official contact page; NOTE a different number (+234 908 874 3072) appears in third-party directories – confirm by calling the official number first","https://www.venturesplatform.com/contact-us","NOT PUBLICLY AVAILABLE","hello@venturesplatform.com","https://www.venturesplatform.com/contact-us","Early-stage African tech: fintech, enterprise software, health tech, agritech, edtech, AI; 90+ portfolio companies; Fund II runs pre-seed, seed and pre-Series A entry strategies","Yes - health tech is a named sector; specific health names (e.g. Reliance Health, Remedial Health) are prior knowledge - TO VALIDATE","Software, AI, platforms","Pan-African, Nigeria-headquartered (Abuja HQ, Lagos office at Ventures Park, Victoria Island)","Pre-seed, Seed, Pre-Series A","First cheque up to US$3m, average ~US$1.5m (Fund II); Fund I cheques were up to US$1m","Fund II final close US$84m (Aug 2026); Fund I US$46m (2022)","Health tech named as a core sector across 90+ companies (per TechCrunch/TechCabal 2026); specific maternal-health names not confirmed in search","14","13","11","8","12","7","4","8","77","8","High","77","B","B-Tier (65–79): targeted relationship development","Kola Aina","Founder & General Partner","https://www.venturesplatform.com/team","Email hello@venturesplatform.com or web contact form https://www.venturesplatform.com/contact-us; phone +234 809 041 5327","Possible - via Ventures Park (Abuja) community or any Nigerian portfolio founder","https://www.venturesplatform.com/contact-us;https://www.venturesplatform.com/team;https://techcrunch.com/2026/08/26/ventures-platform-goes-bigger-and-broader-with-its-second-africa-fund/;https://techcabal.com/2026/08/26/ventures-platform-second-fund/","2026-09-07","Researched","Call to qualify fit and process; log outcome; send one-pager.","The most active Nigerian-headquartered early-stage fund, with health tech as a named sector and a fresh US$84m Fund II (Aug 2026) that includes a pre-seed strategy.","Fund II average cheque is ~US$1.5m and they expect an Africa-domiciled operating company with traction, whereas Vytalix is a UK pre-formation entity with an unresolved Ekiti proposal.","Lead with the Nigerian government-facing MaternaLink pipeline (Ekiti) and a Nigeria opco plan, positioning Vytalix as UK-quality maternal-care coordination software localised for Nigerian state health systems.","Anchor LP in Fund II includes Nigeria's iDICE programme, giving the fund a Nigerian public-sector link. Ticket has moved up-market with Fund II; a pre-formation UK entity is below their usual entry point unless the pre-seed strategy is used. | QA 2026-09-08: conflicting phone seen in directory listings; official contact page number retained.","04_africa_em_vc.csv"
