"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"Octopus Ventures","Venture Capital","Multi-stage VC with dedicated health team and pre-seed programme","United Kingdom","London","https://octopusventures.com/","https://www.linkedin.com/company/octopus-ventures/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://octopusventures.com/contact/","B2B software, fintech, health, deep tech, consumer; pre-seed to Series B+","Yes - dedicated health investment team (digital health, healthtech, bio); health-investments page","Digital platforms, AI, SaaS, health data","UK and Europe","Pre-seed (standard £100k cheque via pre-seed team), Seed, Series A, Series B+","£100k pre-seed; £1m-£10m seed/Series A (per octopusventures.com FAQ / partnershipsbuddy summary)","c.£2bn+ AUM across funds (ESTIMATE from public reporting)","Vira Health (menopause / older women's health; led $12m seed), Perci Health (cancer survivorship digital care), Elvie (women's health hardware - prior knowledge)","Will Gibbs","Partner, Health team (name from prior knowledge - confirm on team page)","https://octopusventures.com/health-investments/","Web pitch form: https://octopusventures.com/contact/ (pre-seed team makes decisions within ~2 weeks per FAQ)","Possible - via Vira Health or Perci Health founders (women's-health portfolio) or Octopus pre-seed alumni","https://octopusventures.com/contact/;https://octopusventures.com/health-investments/;https://octopusventures.com/about/faq/;https://octopusgroup.com/newsroom/latest-news/octopus-ventures-launches-pre-seed-team-led-by-seedcamp-and-uber-alumni/;https://www.uktechnews.info/2022/03/15/vira-health-secures-9-2-million-seed-investment-led-by-octopus-ventures/;https://register.fca.org.uk/s/firm?id=001b000000MfISpAAN;https://find-and-update.company-information.service.gov.uk/company/03843058","2026-09-07","Registered address 33 Holborn, London EC1N 2HT (Companies House). Official contact page pushes online pitch submission; no team phone shown in official-domain search results. A personal staff email surfaced in a search snippet but is not a published general inbox so it is not recorded. FCA-authorised (Octopus Ventures Limited).","Octopus runs a dedicated £100k pre-seed programme plus a health team that has already led rounds in women's-health companies (Vira Health), so it can meet Vytalix at pre-formation stage and follow on.","Octopus will ask why a services-led group with an undocumented MaternaLink IP position and no UK clinical partner is a venture-scale software company rather than a consultancy.","Position MaternaLink (in development) as a UK-first maternal care-coordination platform aimed at the MBRRACE-UK Black maternal-outcomes gap, with a clear IP-consolidation and NHS pilot plan before asking for the £100k pre-seed cheque.","18","13","13","10","12","7","3","9","0","2","1","0","1","1","1"
"MMC Ventures","Venture Capital","Seed / Series A research-led VC (EIS and institutional funds)","United Kingdom","London","https://mmc.vc/","https://uk.linkedin.com/company/mmc-ventures","","020 7938 2220","","https://mmc.vc/contact-us/","VERIFIED 2026-09-07 (source in phone_source_url)","invest@mmc.vc","invest@mmc.vc","https://mmc.vc/contact-us/","Enterprise AI, fintech, data-driven health, data infrastructure, cloud; Seed and Series A","Yes - 'data-driven health' is a named investment theme","AI, SaaS, data infrastructure, digital health","UK and Europe","Seed, Series A (research-led)","c.£1m-£5m initial (ESTIMATE from public profiles); EIS fund also invests at seed","200+ portfolio companies, 24 exits (per LinkedIn / profiles); AUM not stated in results","Current Health (remote patient monitoring, acquired by Best Buy), XUND (AI symptom-check / medical API, seed extension), Synthesia, Signal AI","Simon Menashy","Partner (name from prior knowledge - confirm on https://mmc.vc/team/)","https://mmc.vc/team/","Email invest@mmc.vc or contact form https://mmc.vc/contact-us/","Possible - via Current Health or XUND founders (digital-health portfolio)","https://mmc.vc/contact-us/;https://mmc.vc/team/;https://mmc.vc/;https://uk.linkedin.com/company/mmc-ventures;https://find-and-update.company-information.service.gov.uk/company/03946009;https://find-and-update.company-information.service.gov.uk/company/11791523","2026-09-07","Office 24 High Holborn, London WC1V 6AZ and phone shown in official-domain (mmc.vc) search result. Research-led house; 'data-driven health' theme favours evidence and data assets Vytalix does not yet hold.","MMC has a named data-driven-health theme, a public invest@ inbox and an EIS fund that can write seed cheques into UK companies, making it reachable without a warm intro.","MMC's research-led seed/Series A model expects product, data and early traction, which a pre-formation group without a validated MaternaLink prototype cannot yet show.","Approach after incorporation and SEIS/EIS advance assurance with a data-strategy narrative: how MaternaLink's care-coordination v1 builds the longitudinal maternal dataset that later supports the (v3+) AI research track.","15","10","10","10","10","5","4","8","1","2","1","1","1","1","1"
"Ada Ventures","Venture Capital","Inclusive pre-seed / seed VC (themes: healthy ageing, climate equity, economic empowerment)","United Kingdom","London","https://www.adaventures.com/","https://uk.linkedin.com/company/ada-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.adaventures.com/","Pre-seed and seed technology companies for 'a better human future' across healthy ageing, climate equity and economic empowerment; inclusive sourcing (Ada Scouts)","Yes - healthy ageing / health is one of three core themes; healthcare Venture Partners (e.g. Alasdair Thong)","Software, digital platforms, AI","UK-first, Northern Europe","Pre-seed, Seed","£250k-£1.5m (Fund II, per adaventures.com / Better Society Capital)","Fund II (2023) c.£63m (prior knowledge; TO VALIDATE)","Multiomic Health (metabolic health), plus Fund I health companies (e.g. Bippit / Organise - non-health; prior knowledge not verified)","Check Warner","Co-founder and Partner (name from prior knowledge - confirm on team page)","https://www.adaventures.com/","Web pitch portal on https://www.adaventures.com/ (dedicated founder submission form; open to cold applications)","Possible - via Ada Scouts network (community scouts paid to refer under-represented founders)","https://www.adaventures.com/;https://uk.linkedin.com/company/ada-ventures;https://bettersocietycapital.com/portfolio/ada-ventures-i/;https://signal.nfx.com/investor-lists/top-digital-health-pre-seed-investors;https://superscout.co/investor/ada-ventures","2026-09-07","Explicitly backs 'the best, not just the best-connected' with an open portal - strong fit for a Black founder building for Black maternal outcomes. Better Society Capital is an LP in Fund I (impact lens). No phone shown on official site in results.","Ada writes £250k-£1.5m pre-seed cheques through an open portal, has a health theme and an explicit inclusion mandate that aligns with MaternaLink's focus on Black maternal-health disparities.","Ada's health theme is framed around healthy ageing, so it may see a maternal-health platform with a Nigeria government-sales story as off-thesis and too early on evidence.","Lead with the UK Black maternal-outcomes gap as an equity problem, the founder's lived proximity to it, and a UK-first care-coordination v1 with a costed pilot, keeping Nigeria as a later option value.","15","15","15","10","9","7","4","7","0","2","1","0","1","1","1"
"Seedcamp","Venture Capital","Pre-seed / seed fund (Europe's seed fund)","United Kingdom","London","https://seedcamp.com/","https://www.linkedin.com/company/seedcamp/","","+442039362828","","https://seedcamp.com/complaints/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://seedcamp.com/contact/","Pre-seed and seed across software, AI/ML, fintech, healthtech; Europe-wide","Partial - healthtech is one of several verticals (e.g. Sano Genetics, Cera - prior knowledge)","Software, AI/ML, marketplaces, digital health","Europe (UK HQ)","Pre-seed, Seed","c.£300k-£1m+ initial (ESTIMATE from public profiles)","Seedcamp Fund VI c.$180m (prior knowledge; TO VALIDATE)","Healthtech companies in portfolio (search results confirm healthtech vertical; specific names TO VALIDATE, e.g. Sano Genetics, Cera from prior knowledge)","Reshma Sohoni","Co-founder and Managing Partner (named on seedcamp.com complaints page)","https://seedcamp.com/complaints/","Web application via https://seedcamp.com/contact/ (email submission guidance on site; no public pitch@ address found)","Possible - via Seedcamp portfolio founders or the Seedcamp Nation community","https://seedcamp.com/complaints/;https://seedcamp.com/contact/;https://seedcamp.com/faqs/;https://seedcamp.com/our-team/;https://find-and-update.company-information.service.gov.uk/company/OC391626;https://signal.nfx.com/investor-lists/top-digital-health-pre-seed-investors","2026-09-07","Phone is the number published on the official complaints page (Soho Works, 72-74 Dean Street, W1D 3SG) - a general line, not an investment-team line. Registered office 12 Little Portland Street, W1W 8BJ (Companies House).","Seedcamp invests at true pre-seed across Europe, lists healthtech as a vertical and accepts cold applications, so it is a plausible first institutional cheque once Vytalix is incorporated.","Seedcamp backs global-market software founders with technical teams, and will question a UK-Nigeria maternal-health platform whose code ownership and founding team are not yet documented.","Present a tight founding team (technical lead named, MaternaLink IP assigned) and a software-first model - care coordination SaaS sold to NHS trusts and integrated care boards - with Africa as expansion, not the core thesis.","12","15","14","9","8","4","3","9","1","2","1","0","1","1","1"
"LocalGlobe (Phoenix Court)","Venture Capital","Pre-seed / seed VC (Phoenix Court group; Latitude for later stage)","United Kingdom","London","https://www.phoenixcourt.vc/localglobe","https://www.linkedin.com/company/localglobe/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.phoenixcourt.vc/localglobe","Pre-seed and seed across sectors including digital health, fintech, consumer, deep tech; UK-first","Yes - health tech is a named focus with a dedicated partner (Julia Hawkins) and a published health-tech white paper","Software, digital health, AI, marketplaces","UK-first (Phoenix Court is based in Somers Town, London)","Pre-seed, Seed (Series A via Latitude)","c.£500k-£3m initial (ESTIMATE from public profiles)","LocalGlobe VIII and later funds; group AUM not stated in results","Apian (healthcare drone logistics API), Echo (NHS repeat prescriptions, acquired), Zebra Medical Vision (AI imaging), MyHeritage","Julia Hawkins","Partner, Health Tech (per UKTN article on her hire)","https://www.uktech.news/news/vc-fund-localglobe-hires-new-partner-20180314","Website submission via https://www.phoenixcourt.vc/localglobe (no formal form; warm intro preferred)","Possible - via Phoenix Court portfolio founders or its Somers Town community programmes","https://www.phoenixcourt.vc/localglobe;https://www.uktech.news/news/vc-fund-localglobe-hires-new-partner-20180314;https://medium.com/localglobe-notes/white-paper-health-tech-observations-from-localglobe-9cdbe2e8df1b;https://startups.eithealth.eu/investors/localglobe/portfolio/current;https://f4.fund/firms/localglobe","2026-09-07","Address 1 Brill Place, London NW1 1EL (Phoenix Court). No public phone or general email surfaced in results. Phoenix Court also runs place-based/impact initiatives in Camden that may value a Black maternal-health mission.","LocalGlobe seeds UK founders at pre-seed, has a health-tech partner and NHS-facing portfolio (Echo, Apian), and its Phoenix Court community lens fits a mission-led maternal-health company.","LocalGlobe prefers strong technical founding teams with early product signal, and will be wary of a concept-stage platform whose IP sits with a separate 'Maternal Link' CEO.","Use the health-tech white paper's language: show MaternaLink as NHS-workflow-native care coordination with a named NHS trust pilot pathway, and resolve the IP question before first contact.","15","14","12","10","10","5","2","9","0","1","1","0","1","1","1"
"Kindred Capital","Venture Capital","Seed VC (equitable venture model - founders share carry)","United Kingdom","London","https://kindredcapital.vc/","https://www.linkedin.com/company/kindred-capital/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://kindredcapital.vc/","Pre-seed, seed and Series A across AI, robotics, health technologies, software; all-partner investment team","Partial - health technologies named as a sector; portfolio includes Latent Labs (generative models for health/biology)","AI, robotics, SaaS, deep tech","Europe (UK-based), open to global","Pre-seed, Seed, Series A","$1m-$5m (per privateequitylist / openvc summaries)","Fund III c.£200m (prior knowledge; TO VALIDATE)","Latent Labs (generative AI for biology), Fractile, RobCo, Paddle, Dexory","Leila Zegna","Co-founder and General Partner (name from prior knowledge - confirm on team page)","https://kindredcapital.vc/","Website contact/pitch route at https://kindredcapital.vc/ (no public pitch email found); warm intro preferred","Possible - via Kindred portfolio founders (all founders hold carry and are incentivised to refer)","https://kindredcapital.vc/;https://find-and-update.company-information.service.gov.uk/company/OC401508;https://privateequitylist.com/investors/kindred-capital;https://www.openvc.app/fund/Kindred%20Capital;https://www.vcsheet.com/sheet/digital-health-funds","2026-09-07","Registered office Percy House, 33 Gresse Street, London W1T 1QU (Companies House); an older address at 44-46 Sekforde Street EC1R 0HA also appears. No phone or general email found in official results. Health exposure is mainly AI/bio rather than care-delivery platforms.","Kindred writes seed cheques into UK health and AI companies with an all-partner team, so a founder gets a fast decision from a decision-maker rather than an associate screen.","Kindred's health bets are AI/bio-heavy and its $1m+ minimum is above Vytalix's realistic first round, so it will see the company as too early and too services-led.","Reserve Kindred for the seed round after a UK pilot, framing MaternaLink's future multimodal risk-scoring research track as the AI thesis and the care-coordination platform as the data-generating wedge.","10","12","9","10","7","3","2","8","0","1","1","0","1","1","1"
"Amadeus Capital Partners","Venture Capital","Deep-tech VC with 'Human' healthtech vertical (seed to growth)","United Kingdom","London / Cambridge","https://www.amadeuscapital.com/","https://www.linkedin.com/company/amadeus-capital-partners/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.amadeuscapital.com/locations/","Seed to growth in three areas: Intelligence (AI, computing, quantum), Human (health, medicine, wellness), Planet (sustainability, energy, materials, space)","Yes - dedicated 'Human' healthtech/medtech/biotech vertical (diagnostics, treatment, digital health)","AI in diagnostics, digital health, medtech, deep tech","UK and Europe (offices London, Cambridge, Oxford, Lausanne, San Francisco)","Seed, Series A, growth","c.£1m-£10m (ESTIMATE; seed cheques smaller via early-stage fund)","c.$1bn+ raised historically (ESTIMATE from public profiles)","Doctify (patient-provider booking SaaS), Healx (AI drug discovery), Igenomix (reproductive genetics / women's health), Optos (retinal imaging)","Anne Glover","Co-founder and Chief Executive (public profile)","https://en.wikipedia.org/wiki/Anne_Glover_(businesswoman)","Office contact details on https://www.amadeuscapital.com/locations/ (registered office Suite 1, 2nd Floor, 2 Quayside, Cambridge CB5 8AB); no public pitch email found","Possible - via Doctify or Igenomix networks (women's-health / healthtech portfolio)","https://www.amadeuscapital.com/;https://www.amadeuscapital.com/human-healthtech-venture-capital/;https://www.amadeuscapital.com/locations/;https://www.amadeuscapital.com/the-team/;https://en.wikipedia.org/wiki/Anne_Glover_(businesswoman);https://adviserinfo.sec.gov/firm/summary/161838","2026-09-07","Official-domain search returned only a PR adviser's mobile (personal mobile - not recorded) and no office switchboard; an info@ address surfaced only in scraped-directory snippets so it is not recorded. London office listed by directories at 130 Jermyn Street SW1Y 4UR (TO VALIDATE).","Amadeus has a named healthtech vertical, a women's-health precedent (Igenomix) and a seed capability, giving Vytalix a credible deep-tech investor for the AI research track of MaternaLink.","Amadeus backs IP-rich, science-led companies with clinical evidence, and a pre-formation care-coordination platform with no validated model or clinical partner will look under-powered for its thesis.","Approach only once a data partnership and ethics pathway exist, pitching the Maternal Instability Score research programme as a UK-MDR-ready SaMD opportunity built on MaternaLink's real-world maternal dataset.","16","9","8","10","11","5","2","8","0","0","1","0","1","1","1"
"AlbionVC","Venture Capital","UK seed / Series A VC for B2B software and healthcare (VCT-backed; manages UCL Technology Fund)","United Kingdom","London","https://albion.vc/","https://www.linkedin.com/company/albionvc","","+44 (0)20 7601 1850","","https://albion.vc/contact-us/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://albion.vc/contact-us/","UK early-stage B2B software and healthcare; seed and Series A","Yes - healthtech portfolio of c.15 companies (digital care, GP/hospital solutions, data aggregation, AI analytics, decentralised trials); Healthtech Hub; partnership with Harley Street Health District","Digital health, SaaS, AI analytics, life sciences","United Kingdom","Seed, Series A","$1m-$5m initial (per privateequitylist summary); can go smaller via UCL Technology Fund","c.$1bn venture funds under management, 50+ companies","Oviva (virtual weight-management clinic, backed since 2016 seed), plus 15 healthtech companies across digital care and NHS-facing solutions; Freeline and Orchard Therapeutics (life sciences)","Dr Christoph Ruedig","Partner, healthcare (name from prior knowledge - confirm on https://albion.vc/team/)","https://albion.vc/team/","Contact form https://albion.vc/contact-us/ or office phone; Healthtech Hub https://albion.vc/healthtech-hub/","Possible - via Harley Street Health District partnership, UCL Technology Fund network or Oviva alumni","https://albion.vc/contact-us/;https://albion.vc/team/;https://albion.vc/healthtech-hub/;https://albion.vc/complaints-procedures/;https://find-and-update.company-information.service.gov.uk/company/OC341254;https://www.frontiers.health/stories/announcement/a-partner-to-visionary-founders-in-digital-health-and-life-sciences-albionvc-returns-for-fh23","2026-09-07","Phone and address (1 Benjamin Street, London EC1M 5QL) shown in official-domain (albion.vc) search results - a firm switchboard, not a direct investment line. Email on contact page is obfuscated in search results so not recorded.","AlbionVC is one of the few UK VCs with a dedicated healthtech practice, NHS-facing portfolio and a verified office line, making it a realistic seed lead once Vytalix has a UK pilot.","Albion's healthcare team will ask for clinical evidence, NHS procurement understanding and a documented IP position, none of which Vytalix can evidence today.","Use the Harley Street Health District link: propose MaternaLink as a care-coordination pilot for a London maternity pathway with measurable outcome and equity metrics before requesting a seed cheque.","18","11","10","10","13","5","4","9","1","2","1","0","1","1","1"
"Parkwalk Advisors","Venture Capital","EIS fund manager for UK university spinouts (DeepTech, HealthTech, CleanTech)","United Kingdom","London","https://parkwalk.vc/","https://www.linkedin.com/company/park-walk-advisors/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://parkwalk.vc/contact/","Early-stage UK university spinouts in DeepTech, HealthTech and CleanTech via EIS funds and university-branded funds (Oxford, Cambridge, Bristol, Northern Universities Venture Fund with Northern Gritstone)","Yes - HealthTech is one of three core strategy areas; digital health and life sciences in portfolio","Deep tech, AI, digital health, medtech, quantum","United Kingdom","Seed, Series A (spinouts), follow-on to growth","c.£500k-£5m (ESTIMATE)","£500m+ AUM; 200+ companies backed; UK's largest EIS growth fund manager","Albus Health (contactless home respiratory monitoring), university spinouts across digital health and life sciences","Moray Wright","Chief Executive Officer (public role per parkwalk.vc)","https://parkwalk.vc/about-us/","Contact page https://parkwalk.vc/contact/ ('Speak with our investment team'); office 3 Pancras Square, King's Cross, London N1C 4AG","Possible - via a university technology-transfer office if MaternaLink research is co-developed with a UK university","https://parkwalk.vc/contact/;https://parkwalk.vc/investment-strategy/;https://parkwalk.vc/about-us/;https://parkwalkadvisors.com/2022/07/parkwalk-have-moved-offices/;https://parkwalkadvisors.com/2025/06/northern-universities-venture-fund-launch/;https://find-and-update.company-information.service.gov.uk/company/06925696","2026-09-07","UNVERIFIED: a switchboard number (020 7759 2285) and an enquiries@ address appeared in a mixed-source search snippet alongside scraped directories; not attributable to the official site from results, so not recorded - confirm on https://parkwalk.vc/contact/ before use. Parkwalk invests almost exclusively in university spinouts, which Vytalix is not.","Parkwalk is the most active UK investor in university spinouts with HealthTech as a core pillar, so it becomes relevant if the MaternaLink AI research track is structured with a university partner.","Vytalix is not a university spinout and has no IP-protected science, which puts it outside Parkwalk's mandate regardless of the maternal-health mission.","Only approach after establishing a formal research collaboration (e.g. with a UK maternity research unit) that gives Parkwalk a spinout-style IP story around the multimodal risk-scoring programme.","13","8","10","10","8","3","3","7","0","2","1","0","1","1","1"
"IQ Capital","Venture Capital","Deep-tech seed / Series A VC (Cambridge and London)","United Kingdom","Cambridge / London","https://www.iqcapital.vc/","https://uk.linkedin.com/company/iq-capital-partners","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","hello@iqcapital.vc","https://www.iqcapital.vc/contact","Deep-tech B2B at Seed and Series A: AI and automation, computing and semiconductors, health and tech-bio, advanced engineering, energy, security","Partial - 'health and tech-bio' is a named sector (IP-rich, science-led companies)","AI, deep tech, tech-bio, data analytics","United Kingdom","Seed, Series A (follow-on via Growth Opportunities Fund)","c.£500k-£5m initial (ESTIMATE)","Fund IV $200m final close; c.$1bn AUM in deep tech; 100+ companies backed","Neurovalens (neurostimulation medtech), Mytos (cell-therapy manufacturing automation)","Kerry Baldwin","Co-founder and Managing Partner (public profile; femwealth article)","https://femwealth.substack.com/p/kerry-baldwins-iq-capital-launches","Email hello@iqcapital.vc (shown in search snippet for the official contact page - confirm) or contact form https://www.iqcapital.vc/contact","Possible - via Cambridge deep-tech ecosystem (Cambridge Angels, university innovation offices)","https://www.iqcapital.vc/contact;https://www.iqcapital.vc/;https://www.iqcapital.vc/news/iq-capital-raises-400m-to-invest-in-transformative-deep-tech-companies;https://uk.linkedin.com/company/iq-capital-partners;https://femwealth.substack.com/p/kerry-baldwins-iq-capital-launches","2026-09-07","Offices: 85 Regent Street, Cambridge CB2 1AW and 45 Whitfield Street, London W1T 4HD. A Cambridge phone number appeared in the search snippet in a malformed/uncertain form and could not be attributed to the official page, so it is not recorded. IQ Capital requires defensible technical IP; not a natural fit for a services-plus-platform group.","IQ Capital has a public hello@ inbox, a health and tech-bio sector and UK-only seed focus, but only the AI research strand of MaternaLink would meet its IP-rich deep-tech bar.","IQ Capital will judge a care-coordination platform and advisory business as lacking proprietary deep technology and will pass until a validated algorithm exists.","Position a future round around the multimodal Maternal Instability Score as a defensible algorithm with a data moat, supported by clinical collaborators, rather than pitching the current v1 platform.","11","10","9","10","7","3","3","7","0","2","1","1","1","1","1"
