"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"British Business Bank (British Patient Capital / Enterprise Capital Funds / Regional Angels Programme / Nations & Regions Investment Funds)","Government / Innovation Fund","UK government economic development bank – invests via fund managers and angel groups, not directly into start-ups","United Kingdom","Sheffield (HQ) / London","https://www.british-business-bank.co.uk","https://www.linkedin.com/company/british-business-bank/","","","","https://www.british-business-bank.co.uk/contact-details/","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: official contact pages state a switchboard exists for general enquiries only but do not publish the number in search results; reception cannot refer scheme enquiries)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.british-business-bank.co.uk/contact-us","Wholesale/indirect: British Patient Capital (fund-of-funds into UK VC), Enterprise Capital Funds (backs emerging VC managers), Regional Angels Programme (co-invests alongside accredited angel groups), Nations & Regions Investment Funds (NPIF II £660m, MEIF II £400m, South West Investment Fund £200m, Investment Fund for Wales £130m, Investment Fund for Scotland £150m, Investment Fund for Northern Ireland £70m – all delivered by appointed fund managers), British Growth Partnership (2025, growth-stage)","No sector mandate; health-tech reached only through the funds and angel groups it backs (many of which are in this CRM, e.g. Mercia, Maven, Praetura, FW Capital, Clarendon, Techstart, Frontier Development Capital, Angel CoFund heritage)","Sector-agnostic; regional funds cover SME equity and debt of all kinds","UK-wide, with ring-fenced regional and national funds (England regions, Wales, Scotland, Northern Ireland)","Indirect: pre-seed to growth via delegated fund managers; no direct start-up cheques","No direct tickets. Regional fund managers offer equity roughly £100k–£5m and smaller loans from £25k (per programme pages; ESTIMATE – confirm with each manager)","c.£1.6bn Nations & Regions Investment Funds (2023–24 launches); British Patient Capital £2.5bn+ commitments (ESTIMATE from public reporting)","Indirect only – LP/anchor in UK health-tech-relevant funds such as Octopus, Mercia, Praetura and Maven regional mandates (VERIFY per programme)","Louis Taylor","Chief Executive – confirm on official leadership page (not a route for pitches; the practical contacts are the regional fund managers)","https://www.british-business-bank.co.uk/about","Web contact form https://www.british-business-bank.co.uk/contact-us; for capital, apply to the relevant regional fund manager (NPIF II / MEIF II / SWIF / IFW / IFS / IFNI managers listed on the Bank's site) or via a Regional Angels Programme-backed angel group","No known route (not a direct investor; approach the delegated fund managers instead)","https://www.british-business-bank.co.uk/contact-us;https://www.british-business-bank.co.uk/contact-details/;https://www.british-business-bank.co.uk/business-guidance/regional-support;https://find-and-update.company-information.service.gov.uk/company/08616013;https://www.british-business-bank.co.uk/corporate-information/","2026-09-07","Offices: Steel City House, West Street, Sheffield S1 2GQ and 8 Salisbury Square, 2nd Floor, London EC4Y 8AP (official site, 2026-09-07). Included so the CRM describes the programmes accurately: the Bank is an indirect investor. A mediaenquiries@ address appears on the site but is not a founder inbox and is not recorded. Grant-style schemes (Start Up Loans) are debt, not equity.","The Bank's regional funds and Regional Angels Programme are the public money behind many of the UK managers most likely to write a first £100k–£500k cheque into an English-registered health-tech company.","It does not invest directly in start-ups, so any approach to the Bank itself will be redirected to a fund manager or angel group.","Use the Bank's programme map to target the right regional manager for wherever Vytalix incorporates and to reference publicly-backed co-investment when speaking to angel groups.","8","5","4","10","9","2","2","8","0","1","1","0","1","0","1"
"Development Bank of Wales","Government / Innovation Fund","Welsh Government-owned development bank – direct equity and debt for Wales-based businesses","United Kingdom","Cardiff / Wrexham (registered office) / Newtown / Llanelli","https://developmentbank.wales","https://www.linkedin.com/company/development-bank-of-wales/","","0800 587 4140","","https://developmentbank.wales/contact-us","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","info@developmentbank.wales","https://developmentbank.wales/contact-us","Equity and loans from micro-loans to £10m for businesses based in or relocating to Wales; dedicated Wales Technology Seed Fund, Wales Flexible Investment Fund, Wales Angel Co-Investment Fund and the British Business Bank-funded Investment Fund for Wales (delivered by DBW via FW Capital for debt and DBW equity team)","Sector-agnostic but life sciences, medtech and digital health are a recurring Welsh theme (Life Sciences Hub Wales ecosystem); several health-tech and medtech seed investments on record (names TO VALIDATE on portfolio page)","Technology seed investing (software, AI, medtech, deeptech) through the Technology Venture Investments team","Wales only – businesses must be based in Wales or willing to establish substantive Welsh operations","Pre-seed, seed, Series A and growth; also debt","Equity from c.£50k to £10m; Technology Seed Fund tickets typically £50k–£2m (per official fund pages; confirm current ranges)","c.£1.4bn+ funds under management across Welsh Government and British Business Bank mandates (ESTIMATE from public reporting)","Welsh medtech/digital-health seed deals reported publicly over 2020–2026 (e.g. Bond Digital Health, Peptide Sciences-type companies – TO VALIDATE on official portfolio page)","Giles Thorley","Chief Executive – confirm on team page; the practical contact is the Technology Venture Investments team (Cardiff)","https://developmentbank.wales/about-us/our-people","Phone 0800 587 4140 (Mon–Fri 8.30–17.00) or email info@developmentbank.wales; online enquiry form at https://developmentbank.wales/contact-us","Possible – via Life Sciences Hub Wales, Business Wales advisers or any Welsh university tech-transfer office","https://developmentbank.wales/contact-us;https://find-and-update.company-information.service.gov.uk/company/04055414;https://www.gov.wales/development-bank-wales;https://en.wikipedia.org/wiki/Development_Bank_of_Wales","2026-09-07","Registered office Unit J, Yale Business Village, Ellice Way, Wrexham LL13 7YL; other offices at St David's House, New Road, Newtown SY16 1RB and 1 Capital Quarter, Tyndall Street, Cardiff CF10 4BZ (Companies House / official site, 2026-09-07). Requires a genuine Welsh base – Vytalix has no location decided, so this is only relevant if the founder chooses Wales.","One of the few UK public investors that writes true pre-seed equity cheques from £50k with patient, non-dilutive-friendly terms, if Vytalix registers or bases MaternaLink development in Wales.","Vytalix has no Welsh presence, no incorporated entity and an unresolved ownership question over MaternaLink, so it would not currently pass eligibility screening.","Present a Cardiff-based build option for MaternaLink v1 with Welsh maternity-service pilots and Life Sciences Hub Wales engagement as the reason to domicile in Wales.","12","12","13","6","8","3","5","6","1","1","1","1","1","1","1"
"Scottish National Investment Bank","Government / Innovation Fund","Scottish Government-owned mission-led development investment bank (direct and fund investments)","United Kingdom","Edinburgh","https://www.thebank.scot","https://www.linkedin.com/company/scottish-national-investment-bank/","","0808 281 1000","","https://www.thebank.scot/contact","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","bank.information@thebank.scot","https://www.thebank.scot/contact","Mission-led patient capital: net zero, place-based regeneration, and innovation/productivity (including health innovation); invests directly in companies and projects and into funds","Health falls under its innovation mission; has backed Scottish life-science and health-tech companies and funds (specific names TO VALIDATE on portfolio page)","Innovation mission covers software, AI, medtech, space, advanced manufacturing","Scotland only – investees must be Scottish or deliver impact in Scotland","Growth and scale-up; occasional larger Series A; not a pre-seed investor","Typically £1m+ direct (larger for projects); smaller tickets reached via the funds it backs (ESTIMATE – confirm on official site)","£2bn capitalisation commitment from Scottish Government over ten years; £700m+ deployed by 2025 (ESTIMATE from public reporting)","Scottish health-tech and life-science scale-ups and fund commitments (e.g. to Scottish-focused VC funds – TO VALIDATE)","Al Denholm","Chief Executive – confirm on team page; pitches go to the investment team via the website enquiry route","https://www.thebank.scot/about-us","Email bank.information@thebank.scot or phone 0808 281 1000; investment enquiry form at https://www.thebank.scot/contact","Possible – via Scottish Enterprise or a Scottish-based co-investor (Techstart Ventures, Par Equity)","https://www.thebank.scot/contact;https://www.thebank.scot/about-us;https://find-and-update.company-information.service.gov.uk/company/SC677431;https://en.wikipedia.org/wiki/Scottish_National_Investment_Bank","2026-09-07","Address Waverley Gate, 2-4 Waterloo Place, Edinburgh EH1 3EG (official site / Companies House, 2026-09-07). Too late-stage for Vytalix today; included as a Scottish scale-up route if MaternaLink is built in Scotland.","Patient public capital with an explicit health-innovation mission, relevant only as a later-stage follow-on if Vytalix chooses a Scottish base.","Minimum ticket and stage are far above a pre-formation company with no product in production.","Keep on the radar for a Scotland-based Series A; open a relationship via Scottish Enterprise rather than a direct pitch now.","8","3","3","5","6","2","3","6","1","1","1","1","1","1","1"
"Scottish Enterprise (Scottish Co-investment Fund / Scottish Venture Fund)","Government / Innovation Fund","Scottish Government agency – co-investment funds alongside accredited private investors","United Kingdom","Glasgow (HQ) / Edinburgh","https://www.scottish-enterprise.com","https://www.linkedin.com/company/scottish-enterprise/","","0300 013 3385","","https://www.scottish-enterprise.com/contact-us","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.scottish-enterprise.com/how-we-can-help/funding-and-grants/accessing-business-finance-and-attracting-investment/scottish-co-investment-fund/scottish-co-investment-fund-enquiry","Scottish Co-investment Fund (SCF) and Scottish Venture Fund co-invest pari-passu with accredited angel syndicates and VCs into Scottish companies; also runs grants and innovation support","Sector-agnostic; life sciences and digital health are a stated Scottish growth sector and SCF has co-invested in many Scottish health-tech deals alongside angel syndicates","Software, AI, medtech, digital health, deeptech","Scotland only – company must be based or have significant operations in Scotland","Pre-seed, seed, Series A (co-investment only – requires an accredited lead investor)","SCF c.£10k–£2m per round matched to the private partner's investment; Scottish Venture Fund up to c.£3m (per official pages; confirm current caps)","Scottish Enterprise investment portfolio c.£300m+ across 700+ companies (ESTIMATE from public reporting)","Numerous Scottish digital-health co-investments alongside syndicates such as Archangels, Equity Gap and Techstart (names TO VALIDATE)","Kerry Sharp","Director of Growth Investments – confirm on team page","https://www.scottish-enterprise.com/how-we-can-help/funding-and-grants/accessing-business-finance-and-attracting-investment/how-we-work-with-investors","Phone 0300 013 3385 (Mon–Fri 9–5), live chat, or the Scottish Co-investment Fund enquiry form (URL in email_source_url); an accredited co-investment partner must lead","Possible – through any SCF-accredited partner (Techstart Ventures, Par Equity, Archangels, Equity Gap) leading a Scottish round","https://www.scottish-enterprise.com/contact-us;https://www.scottish-enterprise.com/how-we-can-help/funding-and-grants/accessing-business-finance-and-attracting-investment/scottish-co-investment-fund;https://www.scottish-enterprise.com/how-we-can-help/funding-and-grants/accessing-business-finance-and-attracting-investment/how-we-work-with-investors;https://findbusinesssupport.gov.scot/service/funding/scottish-co-investment-fund","2026-09-07","Number is Scottish Enterprise's general enquiry line, which the official page directs investment enquiries to (2026-09-07). Only usable if Vytalix establishes a Scottish operation; the fund never leads.","Doubles the size of any Scottish angel or seed round at the same terms, which materially de-risks a first £250k–£500k raise if Vytalix were Scotland-based.","No Scottish base and no accredited lead investor in place, so SCF cannot participate.","Pitch to an SCF-accredited Scottish syndicate first and present the SCF match as the reason the round can close quickly.","10","12","13","5","8","3","5","6","1","2","1","0","1","1","1"
"Techstart Ventures","Venture Capital","Seed VC for Northern Ireland and Scotland (Invest NI and Scottish Enterprise-backed funds)","United Kingdom","Belfast / Edinburgh","https://www.techstart.vc","https://uk.linkedin.com/company/techstart-ventures","","+44 28 9032 5506","","https://www.techstart.vc/contact","VERIFIED 2026-09-07 (source in phone_source_url)","northernireland@techstart.vc","info@techstart.vc","https://www.techstart.vc/contact","Seed investment in founder-led technology companies in Northern Ireland and Scotland; first institutional cheque, follow-on through Series A; also runs pre-seed 'concept' investments in NI","Sector-agnostic with several health-tech, medtech and AI-in-health investments in NI and Scotland (names TO VALIDATE on portfolio page)","Software, AI, deeptech, health-tech","Northern Ireland and Scotland only","Pre-seed (NI concept/proof-of-concept), Seed, Series A follow-on","Initial cheques c.£100k–£1.5m with follow-on to c.£2m+ per company (ESTIMATE from public materials – confirm)","Techstart Ventures fund family c.£100m+ across NI and Scotland vehicles including Fund III (ESTIMATE from public reporting)","NI/Scottish health-tech seed companies (TO VALIDATE on https://www.techstart.vc/portfolio)","Hal Wilson","Partner (Belfast) – confirm on team page","https://www.techstart.vc/team","Email northernireland@techstart.vc or info@techstart.vc; phone +44 28 9032 5506; online form at https://www.techstart.vc/contact","Possible – via Invest NI, Catalyst (Belfast) or Scottish Enterprise ecosystem contacts","https://www.techstart.vc/contact;https://www.techstart.vc/investment;https://find-and-update.company-information.service.gov.uk/company/NC001436;https://www.scottish-enterprise.com/how-we-can-help/business-strategy/support-for-entrepreneurs/ecosystem-organisations/financial-support-organisations/techstart-ventures","2026-09-07","Belfast office 3rd Floor, 21 Talbot Street, Belfast BT1 2LD (official contact page, 2026-09-07); Edinburgh office address not shown in results. Strict regional eligibility – Vytalix would need an NI or Scottish company/operations.","A genuine first-cheque seed investor with public backing that routinely funds pre-revenue founder teams, provided the company is domiciled in Northern Ireland or Scotland.","Vytalix is not in Northern Ireland or Scotland and has no incorporated entity yet.","Only approach if a Belfast or Edinburgh base is chosen; then lead with the maternal-health software build and NI/Scottish NHS pilot ambitions.","11","14","13","6","7","3","5","5","1","2","1","1","1","1","1"
"Clarendon Fund Managers","Venture Capital","Northern Ireland regional fund manager – Co-Fund NI and Investment Fund for Northern Ireland (equity)","United Kingdom","Belfast","https://www.clarendon-fm.co.uk","https://www.linkedin.com/company/clarendon-fund-managers-limited","","028 9032 6465","","https://www.clarendon-fm.co.uk/contact/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","info@clarendon-fm.co.uk","https://www.clarendon-fm.co.uk/contact/","Manages Co-Fund NI (Invest NI-backed co-investment alongside angels and syndicates) and the equity element of the British Business Bank's Investment Fund for Northern Ireland; earlier NI growth-loan and seed funds","Sector-agnostic; NI health-tech and medtech deals appear in Co-Fund NI history (names TO VALIDATE)","Software, AI, medtech, engineering – any scalable NI SME","Northern Ireland only","Seed, Series A, growth (co-investment requires a private lead for Co-Fund NI)","Co-Fund NI c.£50k–£1m+ matched to private investors; Investment Fund for NI equity c.£100k–£5m (ESTIMATE from official pages – confirm)","Investment Fund for Northern Ireland £70m (British Business Bank, 2024) plus Co-Fund NI (c.£50m+ cumulative) (ESTIMATE)","NI digital-health and medtech co-investments (TO VALIDATE on official portfolio page)","Neil Simms","Investment Director – confirm on team page","https://www.clarendon-fm.co.uk/","Email info@clarendon-fm.co.uk or phone 028 9032 6465; Co-Fund NI enquiries via https://www.cofundni.com/contact.aspx","Possible – via an NI angel syndicate (Halo NI) or Invest NI adviser","https://www.clarendon-fm.co.uk/contact/;https://www.cofundni.com/contact.aspx;https://find-and-update.company-information.service.gov.uk/company/03525474;https://www.clarendon-fm.co.uk/","2026-09-07","Address 5th Floor, Craig Plaza, 51 Fountain Street, Belfast BT1 5EA (official site, 2026-09-07). FCA-authorised. Strict NI eligibility.","Publicly backed matched capital for NI companies that could convert a small angel round into a fundable seed round, if Vytalix were to build in Belfast.","No Northern Ireland entity, and Co-Fund NI cannot invest without a private lead investor already committed.","Position as an NI-based MaternaLink engineering hub with a lead angel syndicate already engaged before approaching.","9","11","12","5","6","2","5","4","1","2","1","1","1","1","1"
"Frontier Development Capital (FDC)","Venture Capital","Midlands regional fund manager – mainly debt (Midlands Engine Investment Fund II debt finance and FDC Debt Fund)","United Kingdom","Birmingham","https://www.frontierdevelopmentcapital.com","","","0345 319 4528","","https://www.frontierdevelopmentcapital.com/contact-fdc/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","marketing@frontierdevelopmentcapital.com","https://www.frontierdevelopmentcapital.com/contact-fdc/","Debt-led SME funding for established and growth-stage businesses in the Midlands: Midlands Engine Investment Fund II debt finance (£100k–£2m, West Midlands), £100m FDC Debt Fund backed by West Midlands Pension Fund and British Business Investments, property development finance","No health specialism; occasional healthcare-services borrowers","Generalist; technology businesses funded where cash-flow supports debt","West Midlands and wider Midlands (fund-specific)","Established/growth businesses; not pre-seed or pre-revenue","£100k–£2m (MEIF II debt) and £1m–£10m (FDC Debt Fund) – debt, not equity","c.£400m+ under management including £100m FDC Debt Fund (2025) (ESTIMATE from official news)","Not relevant to early-stage health-tech; MEIF II borrowers are trading SMEs","Sue Summers","Chief Executive – confirm on team page","https://www.frontierdevelopmentcapital.com/our-team/","Phone 0345 319 4528 (Mon–Fri 9–5) or enquiry form at https://www.frontierdevelopmentcapital.com/contact-fdc/","No known route","https://www.frontierdevelopmentcapital.com/contact-fdc/;https://www.frontierdevelopmentcapital.com/our-team/;https://find-and-update.company-information.service.gov.uk/company/09967393;https://www.british-business-bank.co.uk/news-and-events/news/fdc-launches-new-100-million-debt-fund-with-investment-from-the-west-midlands-pension-fund-and-british-business-investments","2026-09-07","Registered office 45 Church Street, Birmingham B3 2RT (Companies House, 2026-09-07). Included per brief as a Midlands Engine manager; honest assessment is that it is a debt provider and not a pre-seed equity option. The MEIF II equity manager for the Midlands is Mercia (already covered).","Relevant only in a later, revenue-generating phase when the advisory business could support Midlands-based growth debt.","A pre-revenue, pre-formation company cannot service debt and is outside FDC's mandate.","Park until the consulting arm has 12+ months of trading history; then explore MEIF II debt for working capital.","4","2","4","8","3","1","4","3","1","1","1","1","0","0","1"
"FW Capital","Venture Capital","Regional fund manager (Development Bank of Wales subsidiary) – Northern Powerhouse Investment Fund II debt finance","United Kingdom","Newcastle upon Tyne / Manchester / Wrexham (registered office)","https://fwcapital.co.uk","","","0191 269 6969","","https://fwcapital.co.uk/contact-us","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","info@fwcapital.co.uk","https://fwcapital.co.uk/contact-us","Manages British Business Bank Northern Powerhouse Investment Fund II debt finance (loans c.£100k–£2m) for SMEs in northern England (region-specific mandate – confirm current coverage) and legacy NPIF/North East funds; part of the Development Bank of Wales group","No health specialism; lends to trading healthcare-services and medtech SMEs where cash flow supports repayment","Generalist SME lending including tech businesses with revenue","North East, Tees Valley, Cumbria and other northern England areas under NPIF II (confirm)","Established/growth businesses – debt; not pre-seed equity","£100k–£2m loans (NPIF II debt finance)","Manages several hundred million pounds of public-backed SME debt across NPIF II and legacy funds (ESTIMATE)","Not relevant to early-stage health-tech","Joanne Whitfield","Fund Director – confirm on team page","https://fwcapital.co.uk/about-us","Phone 0191 269 6969 or email info@fwcapital.co.uk; enquiry form at https://fwcapital.co.uk/contact-us","No known route","https://fwcapital.co.uk/contact-us;https://find-and-update.company-information.service.gov.uk/company/07078439;https://www.insidermedia.com/business_directory/detail/business-4797","2026-09-07","Registered office is the Development Bank of Wales address, Unit J Yale Business Village, Ellice Way, Wrexham LL13 7YL (Companies House, 2026-09-07). Included per brief as an NPIF manager; honest assessment: debt-only, low relevance now. NPIF II equity managers are Praetura, Mercia and Maven (all already covered).","Only a future working-capital lender for a northern-England-based trading advisory business, not a pre-seed equity investor.","Pre-revenue, no trading history and no northern England base – not lendable.","Revisit once the advisory arm has audited revenue and a northern base; use as non-dilutive growth capital alongside equity.","4","3","6","8","3","1","4","3","1","1","1","1","0","0","1"
"Nexus Investments (EIS Scale-Up Fund)","Venture Capital","EIS fund manager – health, education, data/digital scale-ups","United Kingdom","London","https://www.scaleupfund.co.uk","https://www.linkedin.com/company/nexus-investment-venture-ltd","","","","https://www.scaleupfund.co.uk/about-us/","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: official pages in search results show address and email but no telephone number)","NOT PUBLICLY AVAILABLE","nexusinvestments@nexusgroup.co.uk","https://www.scaleupfund.co.uk/ (address surfaced in search results attributed to Nexus Investments – confirm on the site's contact page before use)","EIS Scale-Up Fund investing in UK early-stage businesses in health, education and data/digital, typically as part of syndicated seed and Series A rounds; specialist venture division of the Nexus Group","Yes – health is one of three named sectors; digital-health and medtech companies in portfolio (names TO VALIDATE on official portfolio page)","Data, digital platforms, software, AI","United Kingdom (EIS-qualifying companies)","Seed, Series A (post-traction scale-ups; occasional earlier deals)","c.£200k–£1m per company, often across two rounds (ESTIMATE from fund literature – confirm)","Annual EIS fund raises; cumulative deployment in the tens of millions (ESTIMATE)","Digital-health and education-tech scale-ups (TO VALIDATE on scaleupfund.co.uk portfolio page)","Matthew O'Kane","Managing Director, Nexus Investments – public in Grant Thornton investor spotlight on the official site","https://www.scaleupfund.co.uk/grant-thornton-investor-spotlight-matthew-okane-nexus-investments/","Email nexusinvestments@nexusgroup.co.uk (confirm) or contact form on https://www.scaleupfund.co.uk; EIS-qualifying UK company required","Possible – via any Nexus portfolio founder or the EIS adviser community (Grant Thornton network)","https://www.scaleupfund.co.uk/;https://www.scaleupfund.co.uk/about-us/;https://www.scaleupfund.co.uk/grant-thornton-investor-spotlight-matthew-okane-nexus-investments/;https://find-and-update.company-information.service.gov.uk/company/07539942;https://pitchbook.com/profiles/fund/16390-45F","2026-09-07","Address 3rd Floor, 10 Rose & Crown Yard, King Street, London SW1Y 6RE (Companies House / search results, 2026-09-07). Health + education focus matches two of Vytalix's three lines (MaternaLink, e-learning). EIS advance assurance would be required.","One of the few UK EIS funds whose named sectors – health and education – map directly onto MaternaLink and Vytalix's e-learning line, with ticket sizes matched to a first round.","Nexus prefers companies with revenue and a UK customer base; Vytalix has no product in production, no revenue and no EIS advance assurance yet.","Lead with the SEIS/EIS-ready structure, first advisory revenue and a UK maternity-service pilot plan before asking for a Scale-Up Fund allocation.","15","11","13","10","8","4","4","6","0","1","1","1","1","1","1"
"o2h Ventures","Venture Capital","SEIS/EIS knowledge-intensive 'human health' funds (biotech, therapeutics, health-tech/AI)","United Kingdom","Cambridge (Hauxton)","https://o2hventures.com","","07341612481","","","https://o2hventures.com/contact","VERIFIED 2026-09-07 (source in phone_source_url)","invest@o2h.com","NOT PUBLICLY AVAILABLE","https://o2hventures.com/contact","Manages HMRC-approved SEIS and EIS Knowledge Intensive funds investing in early-stage UK human-health companies: therapeutics, biotech tools, AI for drug discovery and digital health; hosts o2h ChaiTime pitch days","Yes – 100% human health; majority therapeutics/biotech but includes health-tech and AI-enabled health companies","AI in drug discovery, health data, digital health, life-science tools","United Kingdom (SEIS/EIS-qualifying), Cambridge-centric","Pre-seed (SEIS), Seed (EIS)","c.£100k–£500k per company across SEIS/EIS funds (ESTIMATE from fund materials – confirm)","Rolling annual SEIS/EIS raises; cumulative tens of millions across funds (ESTIMATE)","Cambridge/UK biotech and health-tech seed companies (TO VALIDATE on official portfolio page)","Sunil Shah","Founder and CEO, o2h group – confirm on team page","https://o2hventures.com/contact","Email invest@o2h.com; phone 07341612481 (number published on the official contact page); apply to pitch at o2h ChaiTime portfolio pitch days","Possible – via Cambridge life-science network (IE Cambridge / Cambridge Enterprise) or any o2h portfolio founder","https://o2hventures.com/contact;https://find-and-update.company-information.service.gov.uk/company/11397838;https://ie.cam.ac.uk/support_article/o2h-ventures/;https://o2hventures.com/events/o2h-chaitime-portfolio-pitch-day-fund-launch-series-cambridge-jan-2026","2026-09-07","Address Hauxton House, The Mill SciTech Park, Mill Lane, Hauxton, Cambridge CB22 5HX (official site / Companies House, 2026-09-07). The published number is in mobile format but is the fund's own advertised contact line, not a personal number. An alternative 020 number appeared in results without clear attribution and was not recorded.","A dedicated SEIS/EIS health investor writing pre-seed cheques in the exact £100k–£500k range Vytalix needs first, with an open pitch-day route.","o2h's core thesis is science-led therapeutics and IP-heavy biotech; a care-coordination software platform without proprietary science or clinical data may look thin.","Frame MaternaLink's v3 multimodal risk-prediction research track (with a named clinical data partner) as the knowledge-intensive story while v1 software builds distribution.","16","13","12","10","7","4","5","6","3","2","1","1","0","1","1"
