"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"Ventures Platform","Venture Capital","Africa-focused generalist VC (pre-seed to pre-Series A)","Nigeria","Lagos / Abuja","https://www.venturesplatform.com","","","+234 809 041 5327","","https://www.venturesplatform.com/contact-us","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","hello@venturesplatform.com","https://www.venturesplatform.com/contact-us","Early-stage African tech: fintech, enterprise software, health tech, agritech, edtech, AI; 90+ portfolio companies; Fund II runs pre-seed, seed and pre-Series A entry strategies","Yes - health tech is a named sector; specific health names (e.g. Reliance Health, Remedial Health) are prior knowledge - TO VALIDATE","Software, AI, platforms","Pan-African, Nigeria-headquartered (Abuja HQ, Lagos office at Ventures Park, Victoria Island)","Pre-seed, Seed, Pre-Series A","First cheque up to US$3m, average ~US$1.5m (Fund II); Fund I cheques were up to US$1m","Fund II final close US$84m (Aug 2026); Fund I US$46m (2022)","Health tech named as a core sector across 90+ companies (per TechCrunch/TechCabal 2026); specific maternal-health names not confirmed in search","Kola Aina","Founder & General Partner","https://www.venturesplatform.com/team","Email hello@venturesplatform.com or web contact form https://www.venturesplatform.com/contact-us; phone +234 809 041 5327","Possible - via Ventures Park (Abuja) community or any Nigerian portfolio founder","https://www.venturesplatform.com/contact-us;https://www.venturesplatform.com/team;https://techcrunch.com/2026/08/26/ventures-platform-goes-bigger-and-broader-with-its-second-africa-fund/;https://techcabal.com/2026/08/26/ventures-platform-second-fund/","2026-09-07","Anchor LP in Fund II includes Nigeria's iDICE programme, giving the fund a Nigerian public-sector link. Ticket has moved up-market with Fund II; a pre-formation UK entity is below their usual entry point unless the pre-seed strategy is used.","The most active Nigerian-headquartered early-stage fund, with health tech as a named sector and a fresh US$84m Fund II (Aug 2026) that includes a pre-seed strategy.","Fund II average cheque is ~US$1.5m and they expect an Africa-domiciled operating company with traction, whereas Vytalix is a UK pre-formation entity with an unresolved Ekiti proposal.","Lead with the Nigerian government-facing MaternaLink pipeline (Ekiti) and a Nigeria opco plan, positioning Vytalix as UK-quality maternal-care coordination software localised for Nigerian state health systems.","14","13","11","8","12","7","4","8","3","1","1","1","0","1","1"
"Future Africa","Venture Capital","Africa-focused pre-seed/seed VC (founder-collective model)","Nigeria","Lagos","https://www.future.africa","https://ng.linkedin.com/in/eaboyeji (GP public profile)","","","","","PHONE NOT PUBLICLY AVAILABLE","funding@future.africa","NOT PUBLICLY AVAILABLE","https://www.future.africa/news-insights/how-future-africa-invests-our-investment-process-explained","Pre-seed and seed 'founding investor' in African mission-driven tech: fintech, agtech, logistics, education, health and others","Generalist; health-tech portfolio not confirmed in search results - TO VALIDATE","Software platforms, marketplaces","Pan-African, Nigeria-centred","Pre-seed, Seed, Seed+","US$25k-US$500k; historical average ~US$54k initial and ~US$110k follow-on (Fund II review)","Not disclosed in search; multiple funds and a founder-collective syndicate","Portfolio spans fintech, agtech, logistics, edtech; no maternal-health company confirmed in search","Iyinoluwa Aboyeji","Founder & General Partner","https://www.crunchbase.com/person/iyinoluwa-aboyeji","Email funding@future.africa with a proposal (recommendation from network preferred) or apply via form on future.africa","Possible - fund states proposals should come with a recommendation from someone in their network","https://www.future.africa/news-insights/how-future-africa-invests-our-investment-process-explained;https://www.future.africa/investment-approach;https://www.future.africa/news-insights/official-notice-on-future-africas-funding-processes;https://www.future.africa/post/fund-ii-in-review-february-2023","2026-09-07","Fund requires an MVP - the Vercel MaternaLink prototype may qualify only if ownership is clarified. Official notice on funding processes warns of impersonation; use only official channels. Personal emails for the GP appeared only on scraped directories and are excluded.","Writes cheques as small as US$25k at pre-seed for mission-driven African founders, which matches Vytalix's first-round size and its Nigeria expansion story.","They want an MVP with early traction and a founder based in-market, and MaternaLink's IP ownership between Vytalix and David Agunede is undocumented.","Pitch MaternaLink (in development) as a mission-driven maternal-care coordination product for Nigerian state health systems, with the Ekiti conversation as evidence of demand discovery.","12","15","13","8","9","6","4","7","0","2","1","1","1","1","1"
"Microtraction","Venture Capital","Africa-focused pre-seed fund (open application)","Nigeria","Lagos","https://www.microtraction.com","https://ng.linkedin.com/company/microtraction","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","team@microtraction.com","https://www.microtraction.com/frequently-asked-questions","Sector-agnostic pre-seed investing in African technology companies with technical founders; ~70 investments","Sector-agnostic; some health-tech exposure reported (e.g. WellaHealth - prior knowledge, TO VALIDATE)","Software, technical founding teams","Pan-African, Nigeria-heavy","Pre-seed","US$100k for 7% (negotiable) plus up to US$350k follow-on","Fund II first close US$15m (2022); Community Fund launched 2024/25","70+ companies across enterprise, fintech, consumer; health-tech names not confirmed in search","Dayo Koleowo","Managing Partner","https://www.microtraction.com/team/dayo-koleowo","Web application form on microtraction.com (open year-round, reviewed weekly) or email team@microtraction.com","Possible - Microtraction Venture Scouts / Network Partners programme","https://www.microtraction.com/;https://www.microtraction.com/frequently-asked-questions;https://www.microtraction.com/team/dayo-koleowo;https://techcrunch.com/2022/08/19/microtraction-hits-15m-first-close-on-its-second-fund-for-pre-seed-investment-in-african-startups/","2026-09-07","Explicitly requires technical founders and a product; 10-day response target on applications. Standard terms are fixed (US$100k/7%).","One of the few African funds with a public, no-intro-needed pre-seed application and a fixed US$100k cheque that fits a first Vytalix round.","Their thesis requires a technical co-founder on the cap table and Vytalix has not evidenced who wrote or owns the MaternaLink prototype.","Apply once the technical co-founder/IP position is documented, presenting MaternaLink as a technical product with a clear Nigeria-first go-to-market.","10","15","13","8","7","5","5","6","0","2","1","1","1","1","1"
"LoftyInc Capital Management","Venture Capital","Africa-focused early-stage VC (late seed / Series A in Fund III)","Nigeria","Lagos","https://loftyinc.vc","","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Tech-enabled 'everyday economy' startups in Africa: logistics, health tech, retail, climate, deep tech/AI","Yes - health tech is a named focus sector for Fund III","Tech-enabled services, AI","Nigeria, Egypt, Kenya, francophone Africa","Late seed and Series A (Fund III); earlier funds pre-seed/seed","Initial US$50k-US$250k with follow-on up to US$1m (per Techpoint/Weetracker 2025)","Fund III (LoftyInc Alpha) US$43m first close (2025)","Health tech listed among focus sectors; specific companies not confirmed in search","Idris Ayodeji Bello","Founding Partner & Portfolio Manager","https://www.crunchbase.com/organization/loftyinc-capital-management","Website loftyinc.vc (no public pitch email found); LinkedIn to founding partner","Possible - via Afropreneur network / Nigerian portfolio founders","https://loftyinc.vc/;https://techpoint.africa/news/loftyinc-43-third-fund/;https://weetracker.com/2025/03/05/loftyinc-capital-secures-third-fund/;https://techcrunch.com/2021/08/31/loftyinc-capital-launches-third-fund-at-10m-for-a-more-diverse-portfolio-of-african-startups/","2026-09-07","A phone and address for LoftyInc appeared only on scraped directories (and looked like placeholders) and are excluded. Fund III has moved to late-seed/Series A, so pre-seed fit is weaker than earlier funds.","Nigeria-rooted fund that names health tech as a core sector and still writes initial cheques from US$50k.","Fund III targets late-seed and Series A companies with revenue, which Vytalix will not have for some time.","Position for a later seed round after a paid Nigerian pilot, and ask now for ecosystem introductions rather than capital.","13","9","11","8","8","6","2","7","0","0","1","0","0","1","1"
"Ingressive Capital","Venture Capital","Africa-focused pre-seed/seed VC","Nigeria","Lagos","https://ingressivecapital.com","https://ng.linkedin.com/company/ingressive-capital","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","communications@ingressive.vc","https://ingressivecapital.com/contact/","Pre-seed to seed tech-enabled companies in fintech, SaaS/cloud, internet, health tech, agritech, edtech","Yes - health tech / digital health named as a focus sector","SaaS, consumer internet, digital health","Pan-African: Nigeria, Egypt, Morocco, Kenya, Ghana","Pre-seed, Seed","US$100k-US$500k targeting ~10% ownership","Fund II US$50m","Digital health solutions cited among portfolio sectors; specific companies not confirmed in search","Maya Horgan Famodu","Founder & Partner","https://ingressivecapital.com/team/","Web application form https://ingressivecapital.com/application/; contact page https://ingressivecapital.com/contact/; email communications@ingressive.vc","Possible - Ingressive for Good (I4G) community and portfolio founders","https://ingressivecapital.com/contact/;https://ingressivecapital.com/application/;https://ingressivecapital.com/team/;https://ingressivecapital.com/faq/;https://techcabal.com/2020/06/24/ingressive-grows-investment-fund-10-million/","2026-09-07","A phone number shown on a scraped directory looked like a placeholder and is excluded. FAQ page states investment criteria.","Lagos pre-seed fund with an open application form, US$100k-500k cheques and health tech explicitly in scope.","They target ~10% ownership in Africa-domiciled companies with a product in market, and Vytalix has no incorporated entity, revenue or validated product yet.","Frame MaternaLink as a Nigeria-first maternal care-coordination SaaS with a state-government sales motion, backed by UK clinical-governance standards.","13","14","13","8","8","6","4","7","0","2","1","1","1","1","1"
"Merck Global Health Innovation Fund (Merck GHI)","Strategic / Corporate VC","Pharma CVC – digital health growth fund","United States","Rahway, NJ","https://www.merckghifund.com/","https://www.linkedin.com/company/merck-global-health-innovation-fund","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Growth capital for digital health and data-science companies adjacent to Merck's pharma/vaccine business; evergreen USD 500m fund","Digital health, health data, clinical development, supply chain, patient access","Data science, AI/ML, health IT platforms","Global (US-centric)","Growth (Series B+); explicitly a growth investor","USD 5m–25m (ESTIMATE from public deal history)","USD 500m evergreen; >USD 800m committed across 70 companies (Global Venturing Q&A)","20+ digital health companies since 2010 (per merckghifund.com; individual names TO VALIDATE)","Bill (William) Taranto","President, Merck Global Health Innovation Fund","https://globalventuring.com/corporate/powerlist-qa-bill-taranto-merck-ghi-fund/","Website https://www.merckghifund.com/ (no public pitch email found); LinkedIn to Bill Taranto","Possible – via MSD for Mothers / MSD UK maternal-health programme contacts (mDoc is an MSD for Mothers grantee)","https://www.merckghifund.com/;https://globalventuring.com/corporate/powerlist-qa-bill-taranto-merck-ghi-fund/;https://www.crunchbase.com/organization/merck-global-health-innovation-fund","2026-09-07","LATER-STAGE ONLY: self-described growth investor; not a realistic pre-seed cheque. Value is as a future Series B investor and as a door into MSD's maternal-health ecosystem (MSD for Mothers). Directory sites (ZoomInfo, D&B) appeared in results and were ignored per schema.","Merck GHI is the digital-health growth arm of the group that also funds MSD for Mothers, so it is the one pharma CVC whose parent already spends on maternal-health digital programmes in Nigeria.","Merck GHI writes growth cheques into companies with revenue and data, and Vytalix is pre-formation with no product in production.","Position MaternaLink (in development) as a future data-and-care-coordination layer for maternal health in the UK and Nigeria and ask only for a relationship now, with a Series B conversation once pilots and data exist.","17","2","2","6","12","8","2","8","0","0","1","0","1","1","1"
"MSD Impact Venture Fund (Merck & Co. / MSD)","Strategic / Corporate VC","Pharma corporate impact venture fund (Africa health)","United States","Rahway, NJ (fund managed by AfricInvest, Tunis/Nairobi)","https://www.msd.com/company-overview/sustainability/impact-venture-fund/","https://www.linkedin.com/company/msd","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Impact investments in transformative health innovations serving vulnerable communities in Africa; flexible funding plus supply-chain expertise","Access to health, primary care delivery, health supply chain, maternal health (via MSD for Mothers ecosystem)","Digital health, health-financing platforms, health logistics","Africa (sub-Saharan)","Early to growth stage African health companies (managed by AfricInvest; stage criteria TO VALIDATE)","NOT PUBLICLY STATED (ESTIMATE USD 0.5m–5m based on USD 55m portfolio commitments)","USD 55m current impact-investing commitments (msd.com)","Africa health start-ups (names TO VALIDATE on msd.com); MSD for Mothers separately grant-funds mDoc's Digital Mom Project in Lagos/Ekiti and MomCare (Kenya/Tanzania)","NOT PUBLICLY IDENTIFIED","Fund led by MSD Office of Social Impact & Sustainability with an Impact Investing Committee; day-to-day management by AfricInvest","https://www.msd.com/company-overview/sustainability/impact-venture-fund/","Via AfricInvest (fund manager) or MSD Office of Social Impact & Sustainability; no public pitch form found","Possible – via Health Finance Coalition or AfricInvest health team; also via MSD for Mothers Nigeria portfolio contacts","https://www.msd.com/company-overview/sustainability/impact-venture-fund/;https://www.msdformothers.com/docs/MSD_MfM_Brief_Nigeria_Portfolio_Overview.pdf;https://reports.msdformothers.com/innovativefinancing/","2026-09-07","MSD for Mothers itself is a grant/philanthropic initiative (leave grant route to impact agent); the equity vehicle is the MSD Impact Venture Fund, managed by AfricInvest with Health Finance Coalition support. Nigeria-relevant: MSD for Mothers funds mDoc's Ekiti programme, i.e. the incumbent in Vytalix's target state — handle competitively-sensitive framing carefully.","It is the only pharma-backed equity fund explicitly mandated to back African health ventures, and its parent already funds maternal-health digital programmes in Nigeria including Ekiti.","The fund backs operating African companies with traction, and Vytalix is UK-domiciled, pre-formation and would be competing with an MSD for Mothers grantee (mDoc) in Ekiti.","Present MaternaLink (in development) as complementary care-coordination infrastructure for state maternal programmes and propose a Nigeria-registered operating entity as the investable vehicle once a pilot is live.","16","5","6","8","13","10","2","8","0","0","0","0","1","1","1"
"Novartis Venture Fund","Strategic / Corporate VC","Pharma CVC (life sciences; digital health legacy via dRx Capital)","Switzerland","Basel (also Cambridge, MA)","https://www.nvfund.com/","https://www.linkedin.com/company/novartis-venture-fund","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Venture investments in life-science companies developing novel therapeutics and platforms; historically digital health via dRx Capital (Novartis–Qualcomm JV, 2015, up to USD 100m, Series A+)","Therapeutics, biotech; digital medicine (dRx legacy: Omada, Pear, Science 37, Koneksa)","Biotech platforms; data/digital health (legacy)","Europe and North America","Seed to Series B (biotech); dRx Capital was Series A+","USD 5m–20m over a company's life (ESTIMATE)","Circa USD 1bn+ under management (prior knowledge; TO VALIDATE)","dRx Capital portfolio: Omada Health, Science 37, Koneksa, Xealth, Pear Therapeutics (Crunchbase/Dealroom snippets)","Beat Steffen","Managing Director, Novartis Venture Fund (Basel)","https://www.nvfund.com/team/beat-steffen","Team pages on https://www.nvfund.com/team; LinkedIn to a Basel managing director","No known route","https://www.nvfund.com/;https://www.nvfund.com/team;https://www.crunchbase.com/organization/drx-capital;https://app.dealroom.co/investors/drx_capital","2026-09-07","dRx Capital's current activity status is TO VALIDATE (appears legacy; no new digital-health fund publicly announced). NVF's core mandate is therapeutics, so a maternal care-coordination platform is off-thesis. Included because it is a credible, active, Europe-based pharma CVC.","Novartis is one of the few European pharma CVCs with a documented digital-medicine track record (dRx Capital) and a Basel base reachable from the UK.","NVF's current thesis is therapeutics, not non-diagnostic care-coordination software, and dRx Capital's digital-health mandate appears dormant.","Use the dRx legacy as the conversation opener and pitch MaternaLink's R&D track (multimodal maternal risk research) as a future data partnership rather than a near-term cheque.","12","6","4","7","8","4","2","7","0","0","1","0","1","0","1"
"Roche Venture Fund","Strategic / Corporate VC","Pharma/diagnostics CVC","Switzerland","Basel (also South San Francisco)","https://www.roche.com/venturefund","https://www.linkedin.com/company/roche","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Equity investments in life-science companies in pharmaceuticals, diagnostics and digital health","Therapeutics, diagnostics, digital health","Diagnostics, digital health, data","Global (Europe and US)","Seed to Series B (prior knowledge; TO VALIDATE)","CHF/USD 1m–10m per round (ESTIMATE)","Circa CHF 500m evergreen (prior knowledge; TO VALIDATE)","Portfolio listed at https://www.roche.com/venturefund/venturefund-portfolio (digital-health names TO VALIDATE)","Anja Harmeier","Head of Roche Venture Fund","https://www.roche.com/venturefund/venturefund-team","Postal: F. Hoffmann-La Roche AG, Roche Venture Fund, Grenzacherstrasse 124, CH-4070 Basel (roche.com team page); LinkedIn to Anja Harmeier / Simon Greenwood","Possible – via Roche Diagnostics UK (Burgess Hill) relationships","https://www.roche.com/venturefund;https://www.roche.com/venturefund/venturefund-team;https://www.roche.com/venturefund/venturefund-portfolio;https://www.openvc.app/fund/Roche%20Venture%20Fund","2026-09-07","Team (Anja Harmeier, Simon Greenwood, Monique Schiersing, Gabriella Zoech) and Basel address confirmed via roche.com search snippet. A contact email roche.venturefund@roche.com was shown only on a third-party listing (openvc.app) – TO VALIDATE on the official page before use; not recorded as verified. Roche invests in diagnostics/digital health but MaternaLink v1 is non-diagnostic.","Roche Venture Fund explicitly lists digital health alongside diagnostics, and Roche Diagnostics' pre-eclampsia biomarker tests (sFlt-1/PlGF) make maternal risk a genuine strategic interest.","Roche will want a diagnostic or data-generating asset with clinical validation, whereas MaternaLink v1 is a non-diagnostic coordination platform with no data.","Frame MaternaLink's v3 R&D track as a future channel for maternal biomarker-guided care pathways and seek an early relationship, not a pre-seed cheque.","15","7","6","7","11","7","3","8","0","0","1","0","1","1","1"
"Leaps by Bayer","Strategic / Corporate VC","Pharma impact/CVC arm","Germany","Berlin / Leverkusen (also Boston, Cambridge MA, St. Louis)","https://leaps.bayer.com/","https://www.linkedin.com/company/leapsbybayer","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Impact investment in paradigm-shifting life-science and agriculture breakthroughs organised around ten 'Leaps'; dual financial and 'return on humanity' mandate","Health breakthroughs incl. digital health (led Ada Health USD 90m Series B), women's health legacy via Bayer pharma","Biotech, cell/gene therapy, AI-driven health platforms","Global (Europe and US)","Series A to late stage; average Series A cheque ~USD 48m (Signal/NFX data)","USD 20m–100m (per Signal/NFX averages)","Circa EUR 1.3bn+ deployed since 2015 (prior knowledge; TO VALIDATE)","Ada Health (symptom assessment/digital health)","Juergen Eckhardt","Executive Vice President and Head of Leaps by Bayer","https://ch.linkedin.com/in/juergen-eckhardt","Website https://leaps.bayer.com/ (contact form); LinkedIn to Leaps team","Possible – via Bayer G4A digital-health programme alumni","https://about.ada.com/press/210527-leaps-by-bayer-leads-usd-90-million-series-b-financing/;https://ch.linkedin.com/in/juergen-eckhardt;https://signal.nfx.com/firms/leaps-by-bayer;https://www.linkedin.com/company/leapsbybayer","2026-09-07","LATER-STAGE, LARGE TICKETS: Leaps is a breakthrough-science investor with USD 20m+ cheques; not a pre-seed source. Bayer's women's-health heritage and G4A programme are the more realistic entry points. LeadIQ/Lusha entries in results ignored per schema.","Bayer is the pharma group with the deepest women's-health heritage and Leaps has already backed a consumer-facing digital-health platform (Ada), so maternal digital health is on-thesis.","Leaps funds paradigm-shifting science at Series A+ with USD 20m+ tickets, far beyond a pre-seed care-coordination platform.","Approach Bayer G4A first for partnership and keep Leaps informed as the long-term growth investor once MaternaLink has clinical evidence.","15","2","1","7","12","8","2","8","0","1","1","0","1","1","1"
