"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"British International Investment (BII)","Impact / DFI","UK government development finance institution (formerly CDC Group)","United Kingdom","London","https://www.bii.co.uk/","https://www.linkedin.com/company/british-international-investment/","","+44 (0)20 7963 4700","","https://www.bii.co.uk/en/contact/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE (a general-enquiries address is published on https://www.bii.co.uk/en/contact/ but was obfuscated in search results – copy from the page)","https://www.bii.co.uk/en/contact/","Development finance: direct equity, debt and fund investments in Africa, South Asia, Caribbean and Indo-Pacific; health is a stated sector (hospitals, pharma, health-tech, health financing); also invests via VC funds and a Catalyst portfolio for higher-risk, higher-impact deals","Yes – health is a named sector; direct and fund investments in African healthcare (hospital groups, pharma manufacturing, health-tech via funds)","Digital and tech via fund investments (e.g. African VC funds) and Catalyst strategy; not a seed-stage tech investor directly","Africa (incl. Nigeria office in Lagos), South Asia, Caribbean, Indo-Pacific; does NOT invest in UK-market businesses","Growth / late-stage direct; early stage only indirectly via funds and Catalyst","Direct deals typically US$5m–$100m+; smaller via fund vehicles","c. £8bn+ total net assets (ESTIMATE)","Health investments across Africa incl. hospital and pharma platforms; LP in African VC funds (e.g. Novastar, TLcom, Partech Africa) that back digital-health start-ups","Nick O'Donohoe – confirm on team page","Chief Executive Officer","https://www.bii.co.uk/en/about/","General enquiries via https://www.bii.co.uk/en/contact/ or London switchboard; realistic route is via a BII-backed African VC fund rather than direct","Possible – via BII-backed African VC funds (Novastar, TLcom, Partech Africa) once a Nigeria pilot exists","https://www.bii.co.uk/en/contact/;https://www.bii.co.uk/en/about/;https://www.bii.co.uk/en/","2026-09-07","Phone and address (123 Victoria Street, London SW1E 6DE) shown on official contact page. BII does not fund UK-market activity, so only the Nigeria/Africa track of MaternaLink is relevant. Ticket size far above pre-seed – treat as a Series B+/fund-ecosystem contact, not a first-round target.","BII is the UK's own DFI with a Lagos office and an explicit health mandate, so it is the natural long-term anchor for a UK-domiciled company scaling maternal health in Nigeria.","Vytalix is pre-formation with no product in production and needs sub-£2m, whereas BII's direct cheques start in the millions and it does not fund UK-market work.","Position as a pipeline company for BII's African VC fund partners now, with BII direct capital as the Series B target once MaternaLink has a paid Nigerian state contract.","12","2","2","8","12","7","2","9","1","1","1","1","1","1","1"
"IFC (International Finance Corporation) – Health & Venture Capital","Impact / DFI","World Bank Group private-sector DFI; Health & Education and IFC Venture Capital / Disruptive Technologies teams","United States","Washington, DC","https://www.ifc.org/","https://www.linkedin.com/company/ifclinkedin/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Loans, equity and fund investments in emerging markets across all sectors; Health team backs providers, pharma, health-tech; Venture Capital team backs growth-stage tech in emerging markets; also a Startup Catalyst programme that invests in seed funds/accelerators","Yes – dedicated Health & Education practice; digital health and health-tech investments in Africa and Asia","Digital platforms, fintech, health-tech, climate tech via IFC Venture Capital; seed exposure only through Startup Catalyst-backed funds","Emerging markets globally incl. Nigeria (Lagos office); no UK-market investing","Series B/growth direct; seed only indirectly via funds","Direct venture cheques typically US$2m–$30m; larger for project/corporate finance","Commitments of c. US$40bn+ per year across WBG private-sector arm (ESTIMATE)","Emerging-market health-tech and provider investments (e.g. investments in African and Asian digital-health and hospital groups); LP in African VC funds via Startup Catalyst","Makhtar Diop – confirm on team page","Managing Director, IFC","https://www.ifc.org/","Country office (IFC Nigeria, Lagos) or regional health/venture teams; no open pitch form for pre-seed","Possible – via IFC Startup Catalyst-backed African funds or Nigerian ministry-of-health ecosystem contacts","https://www.ifc.org/","Unverified (prior knowledge)","Written from prior knowledge; contact page not checked this session. Far too large for a first round; include as a Series B+/ecosystem reference and for its Nigeria health-sector relationships.","IFC's health practice and Lagos presence make it a credible later-stage partner for scaling a maternal platform with Nigerian state governments.","IFC does not write pre-seed cheques and cannot invest in UK-market operations, so there is nothing for it to do until MaternaLink has revenue in Nigeria.","Keep IFC informed as a future growth investor and ask its Nigeria health team for market intelligence on state-government procurement of digital maternal-health services.","11","1","1","7","11","6","1","9","0","0","1","0","1","1","0"
"Proparco / Digital Africa (Fuzé)","Impact / DFI","French DFI (AFD Group) with Digital Africa early-stage vehicle (Fuzé pre-seed tickets)","France","Paris","https://www.proparco.fr/en","https://www.linkedin.com/company/proparco/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Proparco: equity, debt and fund investments in Africa and emerging markets incl. health; Digital Africa (backed by Proparco/AFD) runs Fuzé, a pre-seed facility writing small tickets into African tech start-ups; also Bridge Fund by Digital Africa","Yes – Proparco has a health sector strategy (hospitals, pharma, health-tech); Digital Africa is sector-agnostic tech","African digital start-ups (Digital Africa); tech-enabled services","Africa (incl. Nigeria) and emerging markets; Digital Africa focuses on African-founded start-ups, historically with francophone emphasis","Fuzé: pre-seed; Proparco direct: growth","Fuzé: c. €50k–€300k (ESTIMATE); Proparco direct: €5m+","Proparco c. €8bn portfolio (ESTIMATE); Digital Africa c. €130m programme (ESTIMATE)","Digital Africa/Fuzé pre-seed portfolio across African tech; Proparco health investments in African hospital and pharma groups","Françoise Lombard – confirm on team page","Chief Executive Officer, Proparco","https://www.proparco.fr/en","Digital Africa Fuzé applications via https://digital-africa.co/ ; Proparco via regional offices (Lagos/Abidjan)","Possible – via Digital Africa alumni or Proparco-backed African funds","https://www.proparco.fr/en;https://digital-africa.co/","Unverified (prior knowledge)","Written from prior knowledge. Fuzé eligibility rules (African-registered entity, founder residency) are TO VALIDATE – a UK-domiciled company may need a Nigerian subsidiary to qualify.","Digital Africa's Fuzé is one of the few DFI-backed vehicles that actually writes pre-seed cheques into African digital start-ups, which matches MaternaLink's Nigeria track.","Fuzé targets African-registered, African-led start-ups, and Vytalix is currently a UK entity with no Nigerian subsidiary or live deployment.","Apply via a Nigerian operating subsidiary with local co-founder/ownership clarified, framing MaternaLink as a Nigeria-built maternal care-coordination platform with UK advisory backing.","11","9","9","8","9","6","3","7","0","2","1","0","1","1","0"
"FMO Ventures Programme","Impact / DFI","Dutch DFI venture-capital programme (direct early-stage and fund-of-funds)","Netherlands","The Hague","https://www.fmo.nl/ventures-program","https://www.linkedin.com/company/fmo/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Venture capital for tech-enabled business models in emerging markets via direct Series A/B tickets and investments in early-stage funds; focus sectors include fintech, agri, energy and health-tech","Yes – health-tech is a named focus in the Ventures Programme alongside fintech, energy, agri","Tech-enabled platforms and digital services in emerging markets","Africa, Asia, Latin America, Eastern Europe; no UK-market investing","Series A/B direct; seed via partner funds","Direct US$2m–$10m; smaller via funds (ESTIMATE)","Ventures Programme c. €200m allocation (ESTIMATE)","Emerging-market health-tech and fintech; LP in African seed funds","Michael Jongeneel – confirm on team page","Chief Executive Officer, FMO","https://www.fmo.nl/","Ventures Programme page and contact form on fmo.nl; via partner funds for seed","Possible – via FMO-backed African seed funds","https://www.fmo.nl/ventures-program;https://www.fmo.nl/","Unverified (prior knowledge)","Written from prior knowledge. Direct tickets are Series A+; realistic route is through an FMO-backed seed fund.","FMO Ventures explicitly names health-tech in emerging markets and co-invests with African seed funds, giving MaternaLink a potential Series A follow-on path in Nigeria.","Vytalix is pre-product and pre-revenue while FMO Ventures' direct cheques start at Series A with proven unit economics.","Introduce Vytalix as future Series A pipeline and ask which FMO-backed African seed funds are open to maternal-health platforms now.","11","4","4","7","8","5","2","7","0","1","1","0","1","1","0"
"Swedfund","Impact / DFI","Swedish state DFI with health as a core sector","Sweden","Stockholm","https://www.swedfund.se/en","https://www.linkedin.com/company/swedfund/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Equity, loans and fund investments in Africa, Asia and Ukraine across energy, financial inclusion and health; also Project Accelerator grants for feasibility studies","Yes – health is one of three sectors (hospitals, pharma, health-tech, health financing, women's health emphasised)","Limited; health-tech via funds","Sub-Saharan Africa (incl. Nigeria), South/Southeast Asia, Ukraine","Growth; early stage only via funds","SEK 30m–300m direct (ESTIMATE)","c. SEK 10bn+ portfolio (ESTIMATE)","African hospital and health-finance investments; LPs in health-focused African funds","Maria Håkansson – confirm on team page","Chief Executive Officer","https://www.swedfund.se/en","Contact form on swedfund.se; via Swedfund-backed health funds","No known route","https://www.swedfund.se/en","Unverified (prior knowledge)","Written from prior knowledge; health strategy references women's and maternal health access. Too large for a first round.","Swedfund treats health, and specifically women's health access in Africa, as a core sector, so MaternaLink's Nigeria track fits its impact thesis at a later stage.","A pre-formation UK company with no African operations is years away from Swedfund's minimum ticket and due-diligence bar.","Track Swedfund as a Series B target and cite its women's-health thesis when framing MaternaLink's impact metrics for earlier investors.","10","1","1","7","7","7","1","6","0","1","1","0","1","0","0"
"Norfund","Impact / DFI","Norwegian state DFI (also manages Climate Investment Fund)","Norway","Oslo","https://www.norfund.no/","https://www.linkedin.com/company/norfund/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Equity and debt in renewable energy, financial institutions, scalable enterprises (incl. health and edtech) and green infrastructure; fund investments in African VC","Partial – health investments under 'scalable enterprises', e.g. hospital and health-financing platforms in Africa","Tech via fund investments in African VC (e.g. Novastar, TLcom-type funds)","Sub-Saharan Africa, Southeast Asia, Central America; no UK-market investing","Growth; early stage via funds","US$5m+ direct (ESTIMATE)","c. NOK 30bn+ committed (ESTIMATE)","African health and fintech via scalable-enterprises portfolio and VC fund stakes","Tellef Thorleifsson – confirm on team page","Chief Executive Officer","https://www.norfund.no/","Contact page on norfund.no; via Norfund-backed African funds","No known route","https://www.norfund.no/","Unverified (prior knowledge)","Written from prior knowledge. Low priority – health is not a headline sector and ticket sizes are growth-stage.","Norfund's African VC fund stakes give it exposure to health-tech, so it is a plausible co-investor once MaternaLink has Nigerian traction.","Health is a secondary theme for Norfund and its direct tickets are far above what a pre-seed company can absorb.","Reach Norfund only through one of its portfolio funds; keep the record for later-stage syndication.","7","1","1","7","5","4","1","5","0","1","1","0","1","0","0"
"DEG – Deutsche Investitions- und Entwicklungsgesellschaft (KfW Group)","Impact / DFI","German DFI with Up-Scaling and develoPPP programmes for smaller companies","Germany","Cologne","https://www.deginvest.de/","https://www.linkedin.com/company/deg-invest/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Loans, equity and mezzanine for private companies in developing markets; health is a focus sector; Up-Scaling programme co-finances innovative SMEs with up to €500k; develoPPP grants for development partnerships","Yes – healthcare is a named sector (hospitals, diagnostics, pharma, health-tech)","Selective; digital and health-tech via Up-Scaling and funds","Africa, Asia, Latin America; European companies with developing-market projects are eligible for some programmes","Growth; Up-Scaling for early-growth SMEs","Up-Scaling up to €500k co-financing; direct €5m+ (ESTIMATE)","c. €10bn+ portfolio (ESTIMATE)","African healthcare providers and health-financing platforms; Up-Scaling recipients in health and edtech","Roland Siller – confirm on team page","Chief Executive Officer / Chair of Management Board","https://www.deginvest.de/","Contact form on deginvest.de; Up-Scaling and develoPPP programme pages","No known route","https://www.deginvest.de/","Unverified (prior knowledge)","Written from prior knowledge. Up-Scaling requires an operating business with revenue and a local company; develoPPP is grant co-funding for European companies working in developing countries and may suit a Nigeria pilot (TO VALIDATE eligibility).","DEG's Up-Scaling and develoPPP programmes are among the few DFI instruments sized for a small company running an African health pilot.","DEG requires an established operating company and local revenue, which Vytalix does not yet have.","Target develoPPP-style co-funding for a Nigerian maternal-health pilot once an implementing partner and pilot budget exist.","10","4","7","7","7","5","2","6","0","1","1","0","1","0","0"
"U.S. International Development Finance Corporation (DFC)","Impact / DFI","US government DFI (health, women's economic empowerment via 2X)","United States","Washington, DC","https://www.dfc.gov/","https://www.linkedin.com/company/dfcgov/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Loans, guarantees, equity and fund investments in developing countries; health, women's empowerment (2X Women's Initiative) and technology are priorities","Yes – Health and Prosperity initiative; investments in health supply chains, hospitals, pharma and health-tech in Africa","Via funds and larger platform companies; not a seed investor","Low- and lower-middle-income countries incl. Nigeria; US nexus preferred","Growth; funds","US$10m+ direct; smaller via funds (ESTIMATE)","Portfolio c. US$40bn+ (ESTIMATE)","African health-sector loans and fund investments; 2X-qualified women's health investments","Benjamin Black – confirm on team page","Chief Executive Officer","https://www.dfc.gov/","Online inquiry form on dfc.gov; via DFC-backed African funds","No known route","https://www.dfc.gov/","Unverified (prior knowledge)","Written from prior knowledge. Political priorities have shifted; a US nexus is usually required. Not a realistic early target.","DFC's health and 2X women's-empowerment lenses match a maternal-health platform in Nigeria in principle.","No US nexus, no operating business and a ticket need two orders of magnitude below DFC's minimum.","Do not approach directly; note DFC as a potential lender to a future Nigerian state-programme financing structure.","9","1","1","6","6","6","1","6","0","1","1","0","1","0","0"
"African Development Bank – Boost Africa / Innovation and Entrepreneurship Lab","Impact / DFI","Multilateral DFI fund-of-funds for African early-stage VC (with EIB)","Côte d'Ivoire","Abidjan","https://www.afdb.org/","https://www.linkedin.com/company/african-development-bank/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Boost Africa invests in African seed and early-stage VC funds and accelerators rather than start-ups directly; AfDB also runs health-sector lending and the Africa Digital Financial Inclusion Facility","Partial – health via public-sector lending; Boost Africa funds are generalist tech","African tech via portfolio funds","Africa only","Fund-of-funds (seed/early via partner funds)","No direct start-up tickets","Boost Africa c. €150m programme (ESTIMATE)","Stakes in African seed funds that back health-tech","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Via Boost Africa portfolio funds; AfDB Nigeria country office","No known route","https://www.afdb.org/","Unverified (prior knowledge)","Written from prior knowledge. Not a direct investor in start-ups; listed for ecosystem mapping only.","AfDB-backed seed funds are a route to Nigerian early-stage capital and AfDB itself finances state health systems that could buy maternal-health services.","Boost Africa does not invest directly in companies, so there is no cheque for Vytalix to ask for.","Use AfDB only as a map to its portfolio funds and as a potential public-sector financier of a state maternal programme.","6","3","0","8","6","5","1","6","0","0","0","0","1","0","0"
"Acumen","Impact / DFI","Patient-capital impact investor (non-profit) with health portfolio","United States","New York","https://acumen.org/","https://www.linkedin.com/company/acumen-fund/","","+1 (646) 747-3955","","https://acumen.org/contact-us/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","partnerships@acumen.org","https://acumen.org/contact-us/","Patient capital (equity, debt) into early-stage companies serving low-income people in agriculture, energy, education, health, workforce; also Acumen Academy fellowships and Acumen-managed funds (e.g. Acumen West Africa)","Yes – health is a named sector (primary care, maternal/child health, diagnostics, health financing)","Tech-enabled services for low-income customers","East and West Africa (Nigeria office in Lagos), South Asia, Latin America, US","Seed to Series A (patient capital)","US$250k–$3m (ESTIMATE)","c. US$150m+ invested cumulatively (ESTIMATE)","Health investments in Africa and South Asia incl. maternal/primary-care providers (e.g. LifeBank Nigeria, Ziqitza, Penda Health)","Jacqueline Novogratz – confirm on team page","Founder and Chief Executive Officer","https://acumen.org/our-team/","Contact page https://acumen.org/contact-us/ ; partnerships@acumen.org ; Acumen West Africa (Lagos) team","Possible – via Acumen West Africa fellows or portfolio founders (e.g. LifeBank)","https://acumen.org/contact-us/;https://acumen.org/our-team/;https://acumen.org/about-us/","2026-09-07","Phone, address (40 Worth Street, Suite 303, New York, NY 10013) and partnerships email shown on official contact page. Invests in companies serving the poor; UK-market activity is out of scope.","Acumen writes seed-sized patient-capital cheques into African health companies from a Lagos office, which is the closest fit in this list to MaternaLink's Nigeria track at Vytalix's stage.","Acumen backs businesses with a live low-income customer base, and MaternaLink has neither users nor a Nigerian entity yet.","Approach Acumen West Africa after a first Nigerian pilot with evidence of affordable pricing for state or community-health buyers.","13","10","10","8","10","8","3","8","1","1","1","1","1","1","1"
