"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"Kinnevik","Family Office","Listed family-controlled investment company (Stenbeck family) - growth investor with a healthcare vertical","Sweden","Stockholm","https://www.kinnevik.com/","https://www.linkedin.com/company/kinnevik/","","+46 (0)8 562 000 00","","https://www.kinnevik.com/contact/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","info(at)kinnevik.com","https://www.kinnevik.com/contact/","Growth-stage technology companies in Europe and the US across healthcare, software, marketplaces and climate","Yes - healthcare is a named vertical (virtual care, value-based care, care platforms)","Digital health platforms, software, marketplaces","Nordics, Europe, US","Growth (Series B+); occasional earlier-stage via Kinnevik-backed platforms","EUR 20m-100m+ (ESTIMATE; growth cheques)","c.SEK 40-50bn net asset value (ESTIMATE from public reporting)","Cityblock Health, Spring Health, Cedar, Babylon (former), Quit Genius/Pelago, VillageMD (former)","Georgi Ganev","Chief Executive Officer (confirm on team page)","https://www.kinnevik.com/team/","General contact page https://www.kinnevik.com/contact/ (switchboard + info@); investor relations desk is for shareholders, not pitching","No known route","https://www.kinnevik.com/contact/;https://www.kinnevik.com/investor-relations/;https://www.kinnevik.com/team/;https://www.kinnevik.com/investments/","2026-09-07","Switchboard number and info@ found on the official contact page; an IR director's mobile is published but is an individual's number so not recorded. Listed on Nasdaq Stockholm; not a pre-seed investor.","Kinnevik is one of the few European family-controlled investors with a stated healthcare thesis and a track record in care-delivery platforms, making it a credible later-stage name to track rather than a first-round target.","Kinnevik writes growth cheques into companies with proven unit economics and will not engage with a pre-formation UK company that has no product in production.","Track only; approach after a Series A with evidence that MaternaLink (in development) has NHS pilot data, framing it as a UK maternal care-coordination platform in the Cityblock/Spring Health mould.","15","2","1","7","8","4","2","7","1","1","1","1","1","0","1"
"Verlinvest","Family Office","Family-backed (de Spoelberch/de Mevius/Van Damme - AB InBev families) consumer growth investor","Belgium","Brussels (also London, New York, Mumbai, Singapore)","https://www.verlinvest.com/","https://www.linkedin.com/company/verlinvest/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.verlinvest.com/contact-us/","Consumer brands: food and beverage, health and wellness, beauty, digital consumer","Partial - consumer health and wellness brands rather than clinical health-tech","Consumer platforms, D2C, wellness apps","Europe, US, India, Asia","Growth / Series B+ (selective earlier-stage)","EUR 25m-150m (ESTIMATE)","c.EUR 2bn+ (ESTIMATE from public reporting)","Oatly, Vita Coco, Hint, Who Gives A Crap, Byju's (edtech)","Roberto Italia","Chief Executive Officer (per official news release - confirm on team page)","https://www.verlinvest.com/insights/verlinvest-appoints-roberto-italia-as-new-ceo/","Contact page https://www.verlinvest.com/contact-us/ (London office: 4th Floor, 21 Ganton Street, London W1F 9BW); no pitch email published","No known route","https://www.verlinvest.com/contact-us/;https://www.verlinvest.com/team/;https://www.verlinvest.com/approach/;https://www.verlinvest.com/insights/verlinvest-appoints-roberto-italia-as-new-ceo/","2026-09-07","Official contact page found in search but no telephone or general email shown in results. Consumer-led thesis; health-tech is not core.","Verlinvest has a London office and a health-and-wellness consumer thesis, so it is a plausible growth-stage name if MaternaLink ever develops a direct-to-mother consumer product.","Verlinvest backs consumer brands with revenue and will see a pre-revenue UK health-services group with a government-facing platform as outside its consumer mandate.","Park for later; only relevant if Vytalix builds a consumer-facing maternal wellness product with brand traction, which is not the current v1 plan.","8","2","1","7","5","3","2","5","0","1","1","0","1","0","1"
"Waypoint Capital","Family Office","Bertarelli family investment office (B-FLEXION group) with healthcare and life-science focus","Switzerland","Geneva (also London)","https://www.waypointcapital.net/","","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Healthcare, life sciences, technology and real assets; direct investments and fund commitments","Yes - healthcare is a core pillar (biopharma, medtech, health services)","Health data, digital health, deep tech","Europe, US, global","Growth and buy-and-build; selective venture via affiliated vehicles","CHF 10m+ direct (ESTIMATE)","Multi-billion family capital (ESTIMATE; not disclosed)","Corin Group (orthopaedics), Gyroscope Therapeutics (former), various healthcare services and life-science holdings (prior knowledge; TO VALIDATE)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Website contact page (verify current URL); London office believed to exist - confirm","No known route","https://www.waypointcapital.net/","Unverified (prior knowledge)","Now branded within B-FLEXION; the Bertarelli family's charitable Bertarelli Foundation is separate and philanthropic. Not checked this session.","Waypoint is a healthcare-specialist family office with a London presence, so it is a logical later-stage name once MaternaLink (in development) has clinical evidence.","Waypoint invests at scale in established healthcare businesses and will not consider a pre-seed, pre-incorporation company.","Track for Series A/B; position Vytalix as a UK maternal-health platform with a validated NHS pathway and an Africa expansion option.","16","2","1","7","8","4","1","7","0","0","0","0","0","0","1"
"Ferd","Family Office","Norwegian family-owned investment company (Andresen family) with impact and venture arms","Norway","Lysaker (Oslo)","https://ferd.no/en/","https://www.linkedin.com/company/ferd-as/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Capital and long-term ownership across listed and unlisted companies; Ferd Impact Investing and Ferd Sosiale Entreprenorer (social entrepreneurs) programme","Partial - health and welfare technology appears within impact and social-entrepreneur portfolios","Impact tech, welfare tech, software","Nordics primarily; selective international","Seed to growth (impact arm invests earlier)","NOK 5m-50m impact/venture (ESTIMATE)","c.NOK 40bn+ (ESTIMATE from public reporting)","Ferd Impact Investing portfolio (e.g. Nordic welfare-tech companies - prior knowledge; TO VALIDATE)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Website contact page https://ferd.no/en/ (general enquiries); impact team contact via site","No known route","https://ferd.no/en/","Unverified (prior knowledge)","Strongly Nordic-focused; UK/Africa deals are rare. Not checked this session.","Ferd's impact arm invests at seed in welfare and health technology with patient family capital, which matches the social-impact framing of MaternaLink (in development).","Ferd's impact investing is largely Nordic and it is unlikely to lead a UK pre-seed round with no Norwegian connection.","Only approach if a Nordic co-investor or programme link exists; otherwise keep as a follow-on impact name for a seed round.","9","7","6","5","5","4","2","5","0","1","0","0","1","0","1"
"Blue Haven Initiative","Family Office","Single-family impact office (Liesel Pritzker Simmons and Ian Simmons) with Africa venture focus","United States","Cambridge, Massachusetts","https://www.bluehaveninitiative.com/","https://www.linkedin.com/company/blue-haven-initiative/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Impact-first venture investments in sub-Saharan Africa (financial inclusion, energy, health, agriculture) plus public-market ESG portfolio","Yes - health access is a named impact theme in Africa","Mobile platforms, fintech, health delivery tech","Sub-Saharan Africa (East and West Africa)","Seed to Series A","US$250k-2m (ESTIMATE)","c.US$500m total portfolio (ESTIMATE; not disclosed)","M-KOPA, PEG Africa, Twiga Foods, mPharma (prior knowledge; TO VALIDATE), Zola Electric","Lauren Cochran","Managing Director, Private Investments (prior knowledge - confirm on team page)","https://www.bluehaveninitiative.com/","Website contact form; warm introductions through African portfolio founders preferred","Possible - via African health-tech founders in its portfolio (e.g. mPharma network)","https://www.bluehaveninitiative.com/","Unverified (prior knowledge)","May also appear in the impact-investor file; merge dedupes. Africa-only for private deals - UK entity would need an African operating story.","Blue Haven writes seed-stage impact cheques into African health and access businesses, which fits the Nigeria/Africa track of MaternaLink (in development) once a real pilot exists.","Blue Haven backs Africa-domiciled operators with traction, and Vytalix currently has a UK-first plan, an undocumented MaternaLink IP position and no live African pilot.","Approach only after a signed African pilot or LOI, presenting MaternaLink's Nigeria track as an affordable maternal care-coordination layer for state health systems.","14","11","10","8","9","8","2","7","0","1","1","0","1","1","1"
"Zoma Capital","Family Office","Family impact office (Ben and Lucy Ana Walton) investing in Colorado and Chile","United States","Denver, Colorado","https://www.zomacapital.com/","https://www.linkedin.com/company/zoma-capital/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Place-based impact investing (Colorado and Chile): health, education, energy, water, community development","Yes - health and wellbeing is a named theme, mostly in its two home geographies","Impact tech, health access models","Colorado (US) and Chile","Seed to growth, plus programme-related investments","US$500k-5m (ESTIMATE)","Not disclosed (single-family office)","Colorado and Chile health and education investments (prior knowledge; TO VALIDATE)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Website contact page https://www.zomacapital.com/","No known route","https://www.zomacapital.com/","Unverified (prior knowledge)","Geographically constrained mandate; included for completeness as requested. Not checked this session.","Zoma is a family impact office that funds maternal and community health models, so it is a reference point for impact framing even though its geography does not match.","Zoma is explicitly place-based in Colorado and Chile and will decline a UK/Nigeria company on geography alone.","Do not pitch; use only as a comparator for how family impact offices structure health investments.","10","8","8","2","3","5","1","3","0","1","0","0","1","0","1"
"Talis Capital","Family Office","Family-office-backed venture investor (Privium group) writing seed to Series A cheques","United Kingdom","London","https://taliscapital.com/","https://www.linkedin.com/company/talis-capital/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.taliscapital.com/contact/","Early-stage technology: enterprise software, fintech, health, climate, consumer; backed by family-office capital","Partial - health-tech is one of several themes","AI, SaaS, digital health, cyber","UK, Europe, selective US","Seed and Series A (some pre-seed)","GBP 1m-5m (ESTIMATE)","c.US$600m+ deployed (ESTIMATE from public statements)","Onfido, Darktrace (early), Iproov, Garten, Kimai; health names include a small number of digital-health companies (prior knowledge; TO VALIDATE)","Matus Maar","Co-founder and Managing Partner (prior knowledge - confirm on team page)","https://taliscapital.com/team/","Typeform pitch submission via https://www.taliscapital.com/contact/ (per official contact page)","Possible - via London seed VCs that co-invest with Talis","https://www.taliscapital.com/contact/;https://taliscapital.com/team/;https://taliscapital.com/portfolio/;https://www.taliscapital.com/fulldisclaimer/","2026-09-07","Official contact page uses a Typeform; no phone or email shown in search results. Registered via Privium at The Shard, 32 London Bridge Street, SE1 9SG; HQ Wimbledon.","Talis is a London family-office-backed investor with a direct pitch form and appetite for seed-stage AI and digital-health companies.","Talis typically leads with GBP 1m+ into companies with a product and early customers, so a pre-formation services-plus-platform group is too early.","Submit via the pitch form at seed stage once MaternaLink (in development) has a UK pilot, emphasising the AI research track and Talis's UK focus.","12","10","8","10","7","3","3","7","0","2","1","0","1","1","1"
"Exor Ventures","Family Office","Venture arm of Exor N.V. (Agnelli family holding); also owns Lingotto","Netherlands / Italy","Amsterdam / Turin (team in London and Milan)","https://www.exor.com/","https://www.linkedin.com/company/exor/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Early-stage technology (seed to Series B) alongside Exor's large healthcare holdings (Institut Merieux, Philips stake)","Yes - Exor group has made healthcare a strategic pillar; Exor Ventures backs health and bio startups","Software, AI, health-tech, mobility, consumer","Europe, Israel, US","Seed to Series B","EUR 1m-10m (ESTIMATE)","Exor NAV c.EUR 30bn+; ventures allocation not disclosed","Exor Ventures health-adjacent names (prior knowledge; TO VALIDATE); Exor group holds Institut Merieux and a Philips stake","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Exor website; Exor Ventures team reachable via LinkedIn and warm introduction","Possible - via Italian or London seed funds co-investing with Exor Ventures","https://www.exor.com/","Unverified (prior knowledge)","Exor Ventures is a small team within a very large holding; process is relationship-led. Not checked this session.","Exor has explicitly prioritised healthcare at group level and its ventures arm writes seed cheques in Europe, so it could add both capital and healthcare credibility.","Exor Ventures favours technically deep teams with a product, and will question a services-led group with no clinical partner and an unresolved IP position.","Warm-intro only, at seed; frame Vytalix as a UK maternal-health data and care-coordination platform whose services arm funds the build.","14","9","7","7","9","3","1","8","0","0","0","0","1","1","1"
"Kima Ventures","Family Office","Xavier Niel's personal venture vehicle - one of the most active seed investors globally","France","Paris","https://www.kimaventures.com/","https://www.linkedin.com/company/kima-ventures/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Seed investments in any sector, 2-3 deals per week; follows strong lead investors","Partial - sector-agnostic; has backed digital-health startups (e.g. Alan)","Software, marketplaces, AI, health-tech","France first; also UK, Europe, US, Africa (selective)","Pre-seed and Seed","EUR 150k (standard cheque, per public statements - TO VALIDATE current figure)","Not disclosed (personal capital of Xavier Niel)","Alan (health insurance), Doctolib (early), many French health startups (prior knowledge)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Online application form on kimaventures.com (Kima invites founders to submit directly)","Possible - via French/UK seed investors leading a round","https://www.kimaventures.com/","Unverified (prior knowledge)","Fast, founder-friendly process but typically invests alongside a lead investor; strong French bias. Not checked this session.","Kima writes small, fast pre-seed cheques through an open application form, which is exactly the accessibility Vytalix needs for a first round.","Kima rarely leads, prefers French-connected founders and will want a credible lead investor already committed.","Apply once an angel lead is secured, presenting Vytalix as a UK-plus-Africa maternal-health platform with a clear SEIS/EIS round structure.","10","14","13","7","4","3","3","6","0","2","0","0","1","1","1"
"Heirs Holdings","Family Office","Tony Elumelu family investment holding (Africapitalism); Heirs Holdings group investments and Tony Elumelu Foundation grants","Nigeria","Lagos","https://www.heirsholdings.com/","https://www.linkedin.com/company/heirs-holdings/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Long-term investments in power, oil and gas, financial services, healthcare (Avon Medical, Avon HMO), hospitality, real estate","Yes - owns Avon Medical Practice and Avon HMO in Nigeria","Limited direct tech venture activity; ecosystem via Tony Elumelu Foundation (TEF) entrepreneurship programme","Nigeria and Africa","Strategic / growth holdings; TEF provides US$5k seed grants to entrepreneurs","Strategic acquisitions and growth capital (not venture); TEF grant US$5,000","Not disclosed (private holding)","Avon Medical, Avon HMO, United Bank for Africa (affiliated), Transcorp, Heirs Energies","Tony O. Elumelu","Founder and Chairman (public role)","https://www.heirsholdings.com/","Corporate website contact page; TEF entrepreneurship programme application (tonyelumelufoundation.org) for the grant route","Possible - via Tony Elumelu Foundation alumni network or Avon Medical leadership","https://www.heirsholdings.com/;https://www.tonyelumelufoundation.org/","Unverified (prior knowledge)","Not a venture investor in the conventional sense; relevance is strategic (Avon HMO/Avon Medical as distribution) and the TEF grant. Not checked this session.","Heirs Holdings owns Nigerian healthcare providers and an HMO, so it could be a distribution partner or strategic shareholder for MaternaLink's Nigeria track rather than a pure financial investor.","Heirs invests in large strategic assets and will see a UK pre-seed software concept with no Nigerian entity or pilot as far too small and unproven.","Lead with a partnership conversation (Avon HMO maternal benefit programme) and treat any investment as a later strategic option; apply separately to the TEF programme if a Nigerian entity exists.","12","4","3","8","12","7","2","8","0","1","1","0","1","1","1"
