"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"UK Business Angels Association (UKBAA)","Angel Network","National trade body for angel and early-stage investing - ROUTE ONLY, does not invest","United Kingdom","London","https://www.ukbaa.org.uk/","https://www.linkedin.com/company/uk-business-angels-association/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Trade association: member directory of angel networks, syndicates and early-stage funds; Deal Share platform; events; does NOT invest","No direct focus; members include health-specialist angel groups","All sectors","United Kingdom","Not an investor (route to pre-seed/seed investors)","Not applicable","Not applicable","Not applicable","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Website https://www.ukbaa.org.uk/ - member directory and Deal Share platform for founders; events calendar","Possible - via UKBAA member networks listed in its directory","https://www.ukbaa.org.uk/","Unverified (prior knowledge)","Does not invest; recorded as a discovery route to its member networks. Not checked this session.","UKBAA does not invest but its member directory and Deal Share platform are the fastest map to every UK angel network that does, which makes it the first stop for a pre-seed SEIS round.","UKBAA will point out it is a trade body and that Vytalix must apply to individual member networks with an incorporated company and SEIS advance assurance.","Use UKBAA's directory and events to shortlist health-friendly member networks, and consider founder access to Deal Share once incorporated.","4","10","5","10","4","1","4","7","0","1","0","0","1","1","1"
"Angel Academe","Angel Network","Women-led angel network and EIS fund investing in tech startups with at least one woman founder","United Kingdom","London","https://www.angelacademe.com/","https://www.linkedin.com/company/angel-academe/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.angelacademe.com/contact","Seed-stage tech companies with at least one woman founder; SEIS/EIS; sectors include health-tech, fintech, edtech, consumer","Partial - health-tech is a regular theme (portfolio includes women's-health companies)","Software, digital health, AI","United Kingdom","Pre-seed and Seed","GBP 100k-500k per round from the network (ESTIMATE); EIS fund co-invests","Network of 100+ angels; EIS fund via SyndicateRoom (size not disclosed)","Bea Fertility (women's health), Provenance, Uncommon, Pherosyn (per official site news page)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Founder application form at https://www.angelacademe.com/founders (no fees; contact page for other queries)","Possible - via portfolio founders such as Bea Fertility","https://www.angelacademe.com/contact;https://www.angelacademe.com/founders;https://www.angelacademe.com/portfolio;https://www.angelacademe.com/eis-fund;https://syndicateroom.com/angel-academe-eis","2026-09-07","Official site uses online forms; no phone or email surfaced. Eligibility requires at least one woman founder - a co-founder decision for Vytalix.","Angel Academe is a fee-free UK pre-seed network that already backs women's-health companies like Bea Fertility, so a maternal-health platform fits its investors' interests directly.","Angel Academe requires at least one woman founder on the cap table, and Vytalix's founding team composition is currently undocumented.","If a woman co-founder or clinical co-founder joins, apply via the founders form positioning MaternaLink (in development) as a UK maternal care-coordination platform led by an inclusive team.","14","14","13","10","7","8","4","6","0","2","0","0","1","1","1"
"Cambridge Angels","Angel Network","Invitation-only angel group of successful Cambridge entrepreneurs","United Kingdom","Cambridge","https://www.cambridgeangels.com/","https://www.linkedin.com/company/cambridge-angels/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","info@cambridgeangels.net","https://www.cambridgeangels.com/","Early-stage technology and life-science companies, mostly with a Cambridge or UK connection; members invest personally and via syndicates","Yes - life sciences, medtech and digital health are common themes","Deep tech, software, AI, medtech","Cambridge / UK","Seed and Series A (some pre-seed)","GBP 150k-1.5m per round across members (ESTIMATE)","c.60+ members investing personal capital","Portfolio listed at https://www.cambridgeangels.com/portfolio (health and life-science names - review before outreach)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Apply online at https://www.cambridgeangels.com/apply-to-work-with-cambridge-angels; email info@cambridgeangels.net","Possible - via Cambridge health-tech founders or Cambridge Enterprise","https://www.cambridgeangels.com/;https://www.cambridgeangels.com/apply-to-work-with-cambridge-angels;https://www.cambridgeangels.com/entrepreneurs;https://www.cambridgeangels.com/portfolio","2026-09-07","Email and registered address (Oakham, LE15 7TU) found on official pages; no telephone published.","Cambridge Angels combines an open application route with members who understand medtech and clinical evidence, giving Vytalix both capital and credible health advisers.","Members will ask for a Cambridge or deep-tech angle and evidence of clinical partnership, and may see a services-led group as insufficiently technology-driven.","Apply once incorporated with SEIS assurance, leading with the MaternaLink (in development) data and AI roadmap and a named clinical adviser.","14","12","12","10","8","5","4","7","0","2","0","1","1","1","1"
"Oxford Investment Opportunity Network (OION)","Angel Network","FCA-regulated angel network managed by Oxford Innovation Finance (SQW Group); also OION Fund","United Kingdom","Oxford","https://www.oion.co.uk/","https://www.linkedin.com/company/oxford-innovation-finance/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.oion.co.uk/","High-growth scalable companies raising GBP 100k to c.GBP 2m; technology, life sciences, medtech, software; showcase pitch events","Yes - medtech and life sciences are a large share of showcased deals","Software, AI, medtech, deep tech","Oxford / South East / UK","Seed and Series A","GBP 100k-2m per round (per official Companies page); 6% + VAT success fee","One of the UK's largest angel networks; OION Fund size not disclosed","Portfolio at https://oion.co.uk/portfolio (medtech and digital-health names - review before outreach)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Company Registration form at https://www.oion.co.uk/companies (showcase pitching); registered office Oxford Centre for Innovation, New Road, Oxford OX1 1BY","Possible - via Oxford Innovation incubator tenants or OUI network","https://www.oion.co.uk/;https://www.oion.co.uk/companies;https://www.oion.co.uk/about-us;https://www.oion.co.uk/oion-fund;https://oion.co.uk/portfolio","2026-09-07","No phone or email in official-page search results; process is form-based with a success fee.","OION runs regular showcases where FCA-regulated angels fund GBP 100k-2m rounds in medtech and software, matching Vytalix's first-round size.","OION's 6% success fee and showcase screening favour companies with a product and early revenue, which Vytalix lacks.","Register once the services arm has first revenue and MaternaLink (in development) has a pilot partner, positioning the raise as SEIS/EIS-eligible.","13","12","13","10","7","4","4","6","0","2","0","0","1","1","1"
"Newable Ventures (now part of Maven Capital Partners)","Angel Network","Former London Business Angels / Newable angel network and EIS fund - acquired by Maven Capital Partners; VERIFY current route","United Kingdom","London","https://newable.co.uk/ventures","https://www.linkedin.com/company/newable/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.newable.co.uk/contact/","EIS evergreen fund investing in 7-10 companies in SpaceTech, MedTech and Automation, with pitches to its angel network","Yes - MedTech is a named sector","Medtech, spacetech, automation, software","United Kingdom","Seed and Series A","GBP 250k-1m (ESTIMATE)","GBP 10m commitment from British Business Investments (with Bristol Private Equity Club) plus EIS fund","Cognism, Atelerix (per official news pages)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Newable Ventures web portal deactivated after Maven acquisition; use Maven Capital Partners (mavencp.com) or Newable contact page https://www.newable.co.uk/contact/","Possible - via Maven Capital Partners regional teams","https://newable.co.uk/ventures;https://investment.newable.co.uk/;https://www.newable.co.uk/contact/;https://www.newable.co.uk/newable-ventures-and-bristol-private-equity-club-secure-10m-commitment-from-british-business-investments/","2026-09-07","Official portal states Newable Ventures Limited (FRN 843924, Co. 10303336) was acquired by Maven Capital Partners and the portal is deactivated. Registered office 140 Aldersgate Street, London EC1A 4HY.","The former London Business Angels network has a MedTech mandate and now sits inside Maven, giving a route to both angel co-investment and regional funds.","Post-acquisition the process has moved to Maven, whose funds prefer post-revenue companies, so a pre-formation group may be redirected.","Contact Maven's early-stage team citing the Newable MedTech mandate, once incorporated with a pilot plan.","12","10","11","10","6","4","2","6","0","1","0","0","1","1","1"
"Envestors","Angel Network","FCA-regulated private investor network and fundraising platform (London)","United Kingdom","London","https://www.envestors.co.uk/","https://www.linkedin.com/company/envestors/","","+44 (0)20 7240 0202","","https://www.envestors.co.uk/about-us/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.envestors.co.uk/about-us/","Connects growth companies raising c.GBP 250k-5m with private investors; fee-based fundraising support and investment portal","Partial - sector-agnostic with health-tech deals featured","All sectors including software and health-tech","United Kingdom (London-centred)","Seed to Series A","Rounds GBP 250k-5m (ESTIMATE from public positioning)","Not applicable (network/platform)","Deals showcased on its investment portal (review before outreach)","Scott Haughton","Chief Operating Officer (listed on official staff page - confirm current title)","https://www.envestors.co.uk/staff/scott-haughton/","Telephone +44 (0)20 7240 0202 or investment portal https://envestors.co.uk/investment-portal/","Possible - via Envestors member investors or its corporate-finance partners","https://www.envestors.co.uk/about-us/;https://www.envestors.co.uk/staff/scott-haughton/;https://envestors.co.uk/investment-portal/;https://envestors.co.uk/who-we-are/","2026-09-07","Phone appears consistently across official pages per search results. Envestors charges fees for fundraising services - budget accordingly.","Envestors is one of the few UK angel platforms with a published office number and a regulated portal, so Vytalix can start a conversation immediately.","Envestors expects a fundable company with financials and will charge engagement fees that a pre-revenue founder may not be able to justify.","Call to understand fee structure and readiness criteria, then return with an incorporated entity, SEIS assurance and a GBP 250k-500k round plan.","8","11","13","10","5","2","5","5","3","2","1","0","1","1","1"
"Angels Den","Angel Network","Angel network and online co-investment platform (FCA-regulated) with SEIS/EIS focus","United Kingdom","London","https://www.angelsden.com/","https://www.linkedin.com/company/angels-den/","","","","","PHONE NOT PUBLICLY AVAILABLE","em@angelsden.com","info@angelsden.com","https://www.angelsden.com/contact-us","SEIS/EIS-eligible early-stage companies across sectors; entrepreneurs pitch to a large angel base online and at events","Partial - sector-agnostic; health-tech deals listed periodically","Software, consumer, health-tech, cleantech","United Kingdom","Pre-seed and Seed","GBP 100k-1m rounds (ESTIMATE)","Not applicable (network of thousands of registered angels)","Live opportunities listed on angelsden.com (e.g. Wootzano, Wagonex per search results)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Email em@angelsden.com (Entrepreneur Management team) or info@angelsden.com; contact page https://www.angelsden.com/contact-us","Possible - via Angels Den alumni founders","https://www.angelsden.com/contact-us;https://www.angelsden.com/contact-angels-den/;https://www.angelsden.com/about-us/;https://www.angelsden.com/seis-tax-relief/","2026-09-07","Official contact pages show email routes but no telephone in search results. Fees apply for listing/pitching - confirm current model.","Angels Den offers a direct entrepreneur email and an SEIS-oriented angel base, making it one of the most accessible pre-seed routes in the UK.","Angels Den's generalist angels will need a simple, credible story and may balk at an undocumented IP relationship with the MaternaLink prototype.","Email the entrepreneur team after incorporation with a short SEIS deck focused on the services-funded build of MaternaLink (in development).","8","14","14","10","4","2","5","4","0","2","0","1","1","1","1"
"SyndicateRoom","Angel Network","Access EIS fund co-investing alongside 'super angels' (formerly equity-crowdfunding platform)","United Kingdom","Cambridge","https://www.syndicateroom.com/","https://www.linkedin.com/company/syndicateroom/","","01223 478 558","0800 368 9188","https://www.syndicateroom.com/about/contact-us","VERIFIED 2026-09-07 (source in phone_source_url)","contactus@syndicateroom.com","contactus@syndicateroom.com","https://www.syndicateroom.com/about/contact-us","Access EIS fund invests in early-stage companies alongside a curated set of high-performing angel investors; data-driven, sector-agnostic","Partial - health-tech deals occur where lead angels invest","Software, AI, health-tech, consumer","United Kingdom","Seed (EIS-eligible)","GBP 100k-500k fund participation alongside angels (ESTIMATE)","Access EIS fund (size not disclosed)","Large diversified EIS portfolio (review on site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Founders: raise page https://www.syndicateroom.com/raise (Access EIS co-invests only where a partner super angel is investing); phone 01223 478 558","Yes - via a SyndicateRoom partner super angel already investing in the round","https://www.syndicateroom.com/about/contact-us;https://www.syndicateroom.com/raise;https://www.syndicateroom.com/about/contact-us-about-our-access-eis-fund;https://syndicateroom.com/eis/faqs","2026-09-07","Official contact page lists general phone, investor-relations phone, contactus@, investor.relations@ and press@. Registered office Wellington House, East Road, Cambridge CB1 1BH. An analyst's named email is published but not recorded here.","SyndicateRoom's Access EIS fund automatically follows its partner angels, so securing one respected UK health angel can unlock additional fund money at seed.","The fund only invests where one of its designated super angels leads, so Vytalix must first win that angel on its own.","Identify SyndicateRoom partner angels active in health, secure one as lead, then apply via the raise page for Access EIS co-investment.","8","12","13","10","4","2","5","5","3","2","0","1","1","1","1"
"Republic Europe (formerly Seedrs)","Angel Network","Equity crowdfunding platform (FCA-regulated); nominee structure; SEIS/EIS campaigns","United Kingdom","London","https://europe.republic.com/","https://www.linkedin.com/company/republic-europe/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","eur-support@republic.com","http://help-entrepreneur.republic.com/en/articles/1966629-what-businesses-are-eligible-to-raise-on-seedrs","Equity crowdfunding for UK and European startups from pre-seed to growth; nominee holds shares for retail and angel investors","Partial - health and wellness campaigns are common","All sectors","UK and Europe","Pre-seed to Series B","Campaigns GBP 150k-5m (typical; ESTIMATE)","Not applicable (platform; GBP 2bn+ raised historically per public statements - TO VALIDATE)","Thousands of campaigns; health names include digital-health and femtech raises (review on site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Apply to raise: https://www.seedrs.com/raise/apply/ ; support eur-support@republic.com","No known route","https://europe.republic.com/;https://www.seedrs.com/raise/apply/;https://europe.republic.com/insights/our-news/seedrs-becomes-republic-europe-investor-guide;http://help-entrepreneur.republic.com/en/articles/1966629-what-businesses-are-eligible-to-raise-on-seedrs","2026-09-07","Seedrs trades as Republic Europe since 10 July 2024 (official insights page). Campaigns typically need a lead investor and pre-committed funds; success fees apply.","Republic Europe lets a UK company raise an SEIS/EIS round from the public, which suits a mission-led maternal-health story with a community of supporters.","Crowdfunding campaigns need a lead investor, a demonstrable product and marketing budget, and Vytalix currently has none of these.","Consider a campaign only after angel lead commitment, using the maternal-outcomes mission and an early UK pilot as the public narrative.","6","13","13","10","3","3","4","3","0","2","0","1","1","0","1"
"Crowdcube","Angel Network","Equity crowdfunding platform (FCA-regulated); UK and Europe","United Kingdom","London / Exeter","https://www.crowdcube.com/","https://www.linkedin.com/company/crowdcube/","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://help.crowdcube.com/hc/en-us/requests/new","Equity crowdfunding for UK and European growth companies; SEIS/EIS campaigns; nominee structure","Partial - health, wellness and femtech campaigns appear regularly","All sectors","UK and Europe","Seed to Series B (pre-seed possible with strong community)","Campaigns GBP 250k-10m (typical; ESTIMATE)","Not applicable (platform)","Thousands of campaigns (review health category on site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Apply via https://www.crowdcube.com/ raise pages; Help Centre contact form https://help.crowdcube.com/hc/en-us/requests/new; press@crowdcube.com for media only","No known route","https://help.crowdcube.com/hc/en-us/requests/new;https://help.crowdcube.com/hc/en-us/articles/206232424-Can-I-apply-to-raise-finance-on-Crowdcube;https://www.crowdcube.com/explore/making-a-complaint","2026-09-07","Head office 3H Zetland House, 109-123 Clifton Street, London EC2A 4LD per official pages; no telephone or general email shown in results.","Crowdcube offers a public SEIS/EIS raise route that can double as awareness-building for a maternal-health mission among UK families and clinicians.","Crowdcube campaigns require a lead, traction and significant marketing effort, which is premature for a pre-formation company.","Revisit after a UK pilot and angel lead; use as a community round rather than a first-money source.","6","11","13","10","3","3","3","3","0","2","0","0","1","0","1"
