"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"Alma Angels","Angel Network","Community of angel investors backing female-founded startups (UK/Europe)","United Kingdom","London","https://www.almaangels.com/","https://www.linkedin.com/company/alma-angels/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.almaangels.com/","Pre-seed and seed investments into companies with at least one female founder; sector-agnostic tech","Partial - femtech and women's health appear regularly among members' deals","Software, consumer tech, digital health","United Kingdom and Europe","Pre-seed and Seed","Individual angel cheques GBP 5k-50k; syndicated deals larger (ESTIMATE)","Community of several hundred angels; no pooled fund (TO VALIDATE)","Not publicly consolidated; members have backed femtech and health start-ups (TO VALIDATE)","Anthony Danon – confirm on team page","Co-founder (public founder of the community) – confirm on team page","https://www.almaangels.com/","Founder submission form on official website (verify current route)","Possible – via a female co-founder already in the Alma community","https://www.almaangels.com/","Unverified (prior knowledge)","Eligibility hinges on at least one female founder; Vytalix team composition undocumented. Prior-knowledge record; verify all details on official site.","Alma Angels is a low-friction pre-seed community whose members actively seek women's-health deals, matching MaternaLink (in development) if Vytalix has a female co-founder.","Without a female founder on the cap table Vytalix is ineligible for the community's core mandate, and the group has no pooled fund to lead a round.","Once a female clinical or commercial co-founder is confirmed, submit MaternaLink as a UK maternal care-coordination platform with a Black maternal-health equity mission.","12","14","10","10","5","7","3","5","0","2","1","0","1","1","0"
"24Haymarket","Angel Network","Curated network of senior business leaders investing as a syndicate (London)","United Kingdom","London","https://www.24haymarket.com/","https://www.linkedin.com/company/24haymarket/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.24haymarket.com/","Early-stage and growth technology businesses; members take board seats; sectors include software, fintech, healthcare","Partial - health-tech and medtech feature in the portfolio","B2B software, AI, digital health","United Kingdom","Seed to Series A (occasionally later)","GBP 500k-5m per investment from the syndicate (ESTIMATE)","Around 100 members; invests member capital deal-by-deal (TO VALIDATE)","Health-tech deals reported in press (TO VALIDATE on official portfolio page)","Paul Tselentis – confirm on team page","Chief Executive – confirm on team page","https://www.24haymarket.com/","Contact form / general enquiry on official website; typically deal-sourced via intermediaries","No known route","https://www.24haymarket.com/","Unverified (prior knowledge)","Larger tickets and board involvement; likely too early for a pre-formation company. Prior-knowledge record.","24Haymarket brings hands-on senior operators who take board seats, which could give Vytalix governance credibility at a later seed round.","24Haymarket typically writes cheques from about GBP 500k upwards into companies with traction, and Vytalix is pre-incorporation with no revenue.","Register on their radar now and re-approach once advisory revenue and a MaternaLink pilot letter of intent exist, pitching a seed round with a board-ready governance plan.","11","7","8","10","8","4","2","6","0","1","1","0","1","0","0"
"Cambridge Capital Group","Angel Network","Private angel investment group of Cambridge-area business angels and VCs","United Kingdom","Cambridge","https://www.cambridgecapitalgroup.co.uk/","https://www.linkedin.com/company/cambridge-capital-group/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.cambridgecapitalgroup.co.uk/","Technology and life-science companies in the Cambridge region; SEIS/EIS-eligible seed rounds","Partial - life sciences, medtech and digital health are core Cambridge themes","Deep tech, software, medtech","Cambridge / East of England, wider UK","Seed and Series A","GBP 100k-1m per round from members (ESTIMATE)","Group of roughly 100 investors investing personal capital (TO VALIDATE)","Cambridge medtech and software companies (TO VALIDATE on official site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Business plan submission via official website contact form (verify current route)","No known route","https://www.cambridgecapitalgroup.co.uk/","Unverified (prior knowledge)","Strong Cambridge bias; Vytalix has no Cambridge link. Prior-knowledge record; verify website and process.","Cambridge Capital Group members are experienced medtech and software angels comfortable with SEIS/EIS seed rounds of the size Vytalix would raise first.","The group favours Cambridge-connected science and technology companies and Vytalix has no Cambridge affiliation or technical IP yet.","Approach only after a Cambridge-linked clinical or academic advisor joins, positioning MaternaLink (in development) as a data-driven maternal care-coordination platform with a research track.","12","11","12","10","6","4","2","6","0","1","0","0","1","0","0"
"Bristol Private Equity Club","Angel Network","Bristol-based angel investment club of local business people","United Kingdom","Bristol","https://bristolprivateequityclub.co.uk/","https://www.linkedin.com/company/bristol-private-equity-club/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://bristolprivateequityclub.co.uk/","Early-stage businesses in the Bristol / South West region across sectors; SEIS/EIS","Low to partial - generalist with some health and tech deals","Generalist; software and consumer","Bristol and South West England","Pre-seed and Seed","GBP 100k-500k per round pooled from members (ESTIMATE)","Club of 100+ members investing personal capital (TO VALIDATE)","South West early-stage companies (TO VALIDATE on official site)","Jerry Barnes – confirm on team page","Founder / organiser – confirm on team page","https://bristolprivateequityclub.co.uk/","Application via official website (pitch to monthly member meetings)","No known route","https://bristolprivateequityclub.co.uk/","Unverified (prior knowledge)","Regional focus; relevant only if Vytalix bases operations or a pilot in the South West. Prior-knowledge record.","Bristol Private Equity Club funds very early SEIS-stage companies with modest pooled cheques, the exact bracket Vytalix's first round would sit in.","The club prioritises Bristol-area businesses and Vytalix has no presence or customer in the South West.","Pitch only with a South West anchor (e.g. a Bristol NHS trust or university partner), framing Vytalix as a UK maternal-health services and platform business seeking SEIS money.","9","14","13","10","4","3","3","3","0","1","1","0","1","0","0"
"Anglia Capital Group","Angel Network","Business angel network for Norfolk, Suffolk and East of England","United Kingdom","Norwich","https://angliacapitalgroup.co.uk/","https://www.linkedin.com/company/anglia-capital-group/","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://angliacapitalgroup.co.uk/","Early-stage companies across sectors with an East of England link; SEIS/EIS; co-invests with regional funds","Partial - health, agri-tech and clean-tech deals in the Norwich Research Park ecosystem","Generalist; software, life sciences","East of England","Pre-seed and Seed","GBP 50k-500k per round from members (ESTIMATE)","Network of private investors; no pooled fund (TO VALIDATE)","East of England early-stage companies (TO VALIDATE on official site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Entrepreneur application form on official website (verify current route)","No known route","https://angliacapitalgroup.co.uk/","Unverified (prior knowledge)","Regional network; relevance depends on an East of England base. Prior-knowledge record.","Anglia Capital Group writes SEIS-sized angel cheques into pre-revenue companies, and its members co-invest with regional public funds that would stretch a small first round.","Members expect an East of England connection and Vytalix has none.","Only relevant if Vytalix locates in Norwich/Cambridge; otherwise deprioritise and keep as a co-investment option alongside a lead angel.","9","14","13","10","3","3","3","3","0","2","0","0","1","0","0"
"Minerva Business Angel Network","Angel Network","University-linked business angel network run by University of Warwick Science Park (Midlands)","United Kingdom","Coventry","https://minerva.uk.net/","https://www.linkedin.com/company/minerva-business-angel-network/","","+44 (0)24 7632 3000","","https://www.warwicksciencepark.co.uk/contact/","VERIFIED 2026-09-07 (source in phone_source_url) – University of Warwick Science Park switchboard, not a direct investment-team line","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://minerva.uk.net/contact","Early-stage technology businesses pitched to member investor groups across the Midlands (Warwick, Nottingham, Loughborough, Birmingham); SEIS/EIS","Partial - medtech, life sciences and digital health are recurring themes given the university science-park base","Software, deep tech, medtech","Midlands and wider UK","Pre-seed and Seed","GBP 50k-500k per round syndicated from members (ESTIMATE)","Network established 1994; several regional investor groups; no pooled fund (TO VALIDATE)","Midlands early-stage technology companies (TO VALIDATE on official site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Entrepreneur application via https://minerva.uk.net/contact; or Warwick Science Park switchboard +44 (0)24 7632 3000","Possible – via University of Warwick / Nottingham university enterprise teams that feed the network","https://www.warwicksciencepark.co.uk/business-support/minerva/;https://www.warwicksciencepark.co.uk/contact/;https://minerva.uk.net/contact;https://www.warwicksciencepark.co.uk/new-head-of-minerva-business-angel-network-announced/","2026-09-07","Search result attributed the email to the official site but the address was masked in results, so not recorded. Described as one of the largest angel networks outside London and the South East.","Minerva runs multiple Midlands investor groups that see pre-seed SEIS deals every month, giving a maternal-health platform several pitch opportunities from one application.","Members will ask why a pre-formation company with an undocumented product-ownership position and no clinical partner is ready to pitch rather than first securing an NHS or university collaborator.","Apply once incorporated with SEIS advance assurance, positioning Vytalix as a UK maternal care-coordination platform (in development) plus advisory revenue, and ask to pitch to the Warwick and Nottingham groups where medtech angels sit.","12","14","13","10","6","4","4","5","1","2","0","0","1","1","1"
"NorthInvest","Angel Network","Not-for-profit angel network and investor readiness organisation for the North of England","United Kingdom","Leeds","https://northinvest.co.uk/","https://uk.linkedin.com/company/north-invest-ltd","","+44 113 320 0777","","https://northinvest.co.uk/contact/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","info@northinvest.co.uk","https://northinvest.co.uk/contact/","Connects Northern tech start-ups with angel investors; runs pitch events, an angel academy and investor-readiness programmes; SEIS/EIS","Partial - health-tech is one of several tech verticals seen in its pitch cohorts","Software, digital, AI","North of England (Yorkshire, North East, North West)","Pre-seed and Seed","GBP 50k-500k per round via its angel members (ESTIMATE)","Not-for-profit network; no pooled fund (TO VALIDATE)","Northern digital start-ups featured on official site (TO VALIDATE)","Adam Beaumont – confirm on team page","Founder / Chair (publicly associated founder) – confirm on team page","https://en.wikipedia.org/wiki/Adam_Beaumont","Email info@northinvest.co.uk or founder application via https://northinvest.co.uk/contact/","Possible – via Leeds/Yorkshire health-tech ecosystem (Leeds is an NHS Digital hub)","https://northinvest.co.uk/contact/;https://www.inclusivegrowthleeds.com/northinvest;https://uk.linkedin.com/company/north-invest-ltd;https://en.wikipedia.org/wiki/Adam_Beaumont","2026-09-07","Free to founders; strong on investor-readiness which suits a pre-formation company. Leeds hosts a major NHS digital cluster.","NorthInvest offers free investor-readiness support and monthly pitch access to Northern angels, and Leeds's NHS digital cluster makes it a credible base for a maternal-health platform.","NorthInvest supports companies based in the North of England, so Vytalix would need a Northern registered office or team presence to qualify.","If Vytalix locates in Leeds/Manchester, enter the investor-readiness programme first, then pitch MaternaLink (in development) as a UK maternity care-coordination tool with a services revenue line.","11","15","13","10","6","4","5","5","3","2","1","1","1","1","1"
"GC Angels","Angel Network","Public-backed early-stage equity vehicle and angel co-investment arm of The Growth Company (Greater Manchester Combined Authority)","United Kingdom","Manchester","https://gcangels.uk/","https://www.linkedin.com/company/gc-angels","","0161 233 2656","","https://gcangels.uk/contact-us","VERIFIED 2026-09-07 (source in phone_source_url)","GCangels@growthco.uk","NOT PUBLICLY AVAILABLE","https://gcangels.uk/contact-us","Direct equity into start-ups across Greater Manchester and the North West, investing alongside angels, institutional funds and grants","Partial - health innovation is a Greater Manchester priority sector (Health Innovation Manchester ecosystem)","Software, digital, AI, life sciences","Greater Manchester and North West England","Pre-seed, Seed and early Series A","GBP 50k-500k direct, co-invested alongside angels (ESTIMATE)","Funded by Greater Manchester Combined Authority; size not stated in results (TO VALIDATE)","North West early-stage companies (TO VALIDATE on official site)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Email GCangels@growthco.uk or phone 0161 233 2656; enquiry form at https://gcangels.uk/contact-us","Possible – via GC Business Growth Hub advisers or Health Innovation Manchester","https://gcangels.uk/contact-us;https://gcangels.uk/about-us;https://businessfinance.growthco.uk/what-we-do/early-stage-equity/;https://iuk-business-connect.org.uk/projects/investor-partnerships-future-economy/gc-angels/","2026-09-07","Invests public money directly, so requires a Greater Manchester/North West base; strong health-innovation ecosystem locally.","GC Angels writes small direct cheques alongside angels into pre-seed North West companies and sits inside Greater Manchester's devolved health system, a natural pilot environment for a maternity care-coordination platform.","Public funding is tied to Greater Manchester economic benefit, so a London-based or Africa-first company would be ruled out unless it commits jobs to the region.","Frame Vytalix as a Manchester-based maternal-health platform and advisory business seeking SEIS co-investment, with Health Innovation Manchester as the target UK validation partner.","12","14","13","10","9","5","5","6","3","2","0","1","1","1","1"
"Cambridge Enterprise Seed Funds","University / Institutional Fund","University of Cambridge seed funds investing in Cambridge spin-outs and start-ups (managed by Cambridge Enterprise; Parkwalk manages associated EIS funds)","United Kingdom","Cambridge","https://www.enterprise.cam.ac.uk/","https://www.linkedin.com/company/cambridge-enterprise/","01223 763723","","","https://www.enterprise.cam.ac.uk/about/our-team/seeds-fund/","VERIFIED 2026-09-07 (source in phone_source_url)","CESF@enterprise.cam.ac.uk","NOT PUBLICLY AVAILABLE","https://www.enterprise.cam.ac.uk/about/our-team/seeds-fund/","Seed and follow-on investment into companies founded by University of Cambridge staff, students and alumni; technology and life sciences","Yes - life sciences, medtech and digital health are a large share of the portfolio","Deep tech, AI, medtech, therapeutics","Cambridge (University-affiliated companies)","Pre-seed, Seed and follow-on","GBP 100k-1m initial (ESTIMATE)","Multiple evergreen and EIS seed funds; combined size not stated in results (TO VALIDATE)","Cambridge health and life-science spin-outs (TO VALIDATE on official portfolio)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Email CESF@enterprise.cam.ac.uk or phone 01223 763723 (Seed Funds team)","Possible – only via a Cambridge academic or alumni co-founder","https://www.enterprise.cam.ac.uk/about/our-team/seeds-fund/;https://www.enterprise.cam.ac.uk/for-the-university/start-a-company-or-social-enterprise/;https://parkwalkadvisors.com/fund/university-of-cambridge-enterprise-funds/","2026-09-07","Eligibility requires a University of Cambridge connection; effectively closed to Vytalix unless a Cambridge founder/academic joins.","Cambridge Enterprise Seed Funds back pre-revenue health ventures at true seed stage and carry strong follow-on investor networks.","The funds only invest in companies with a University of Cambridge founder or IP link, which Vytalix does not have.","Treat as a long-shot: only approach if a Cambridge clinical academic joins as co-founder to lead the MaternaLink research track (v3+ AI validation).","15","13","12","10","8","5","2","8","3","2","0","1","1","1","1"
"Old College Capital","University / Institutional Fund","University of Edinburgh venture investment fund managed by Edinburgh Innovations","United Kingdom","Edinburgh","https://edinburgh-innovations.ed.ac.uk/old-college-capital/","https://uk.linkedin.com/company/old-college-capital-lp","","0131 6513000","","https://edinburgh-innovations.ed.ac.uk/contact-us","VERIFIED 2026-09-07 (source in phone_source_url) – Edinburgh Innovations main line","investment@ei.ed.ac.uk","NOT PUBLICLY AVAILABLE","https://edinburgh-innovations.ed.ac.uk/old-college-capital/","Co-invests in University of Edinburgh spin-outs and start-ups founded by staff, students and recent alumni, alongside external lead investors","Yes - health-tech, medtech and data-driven health are prominent in Edinburgh's spin-out pipeline","AI, data science, medtech, software","Edinburgh (University-affiliated companies)","Pre-seed, Seed and follow-on","GBP 50k-500k initial, follow-on up to low millions (ESTIMATE)","University-funded evergreen vehicle; size not stated in results (TO VALIDATE)","Edinburgh health-data and medtech spin-outs (TO VALIDATE on official page)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Email investment@ei.ed.ac.uk or phone 0131 6513000 (Edinburgh Innovations)","Possible – only via an Edinburgh academic or alumni founder","https://edinburgh-innovations.ed.ac.uk/old-college-capital/;https://edinburgh-innovations.ed.ac.uk/contact-us;https://iuk-business-connect.org.uk/projects/investor-partnerships-future-economy/old-college-capital/;https://find-and-update.company-information.service.gov.uk/company/SL009405","2026-09-07","Co-investor only (does not lead); requires University of Edinburgh affiliation.","Old College Capital co-invests small pre-seed cheques into Edinburgh-affiliated health-data start-ups, and Edinburgh's usher/health-data institutes could anchor a MaternaLink research partnership.","Vytalix has no University of Edinburgh founder or IP, so it falls outside the fund's mandate regardless of merit.","Only relevant if Vytalix recruits an Edinburgh-affiliated co-founder; then pitch as a co-investment alongside a Scottish angel syndicate lead.","14","13","12","10","7","5","2","6","1","2","0","1","1","1","1"
